Tournament,Date,Team_1,Team_2,Score_1,Score_2
Reading Half 2022,2022-04-02,BN1,Cambridge Ultimate 2,13,2
Reading Half 2022,2022-04-02,BN1,Guildford Ultimate,11,4
Reading Half 2022,2022-04-02,BN1,Zoo,11,3
Reading Half 2022,2022-04-02,Big Fish Little Fish,Brixton,11,5
Reading Half 2022,2022-04-02,Big Fish Little Fish,Purple Cobras,11,5
Reading Half 2022,2022-04-02,Big Fish Little Fish,Reading 3,11,5
Reading Half 2022,2022-04-02,Big Fish Little Fish,Thundering Herd,12,5
Reading Half 2022,2022-04-02,Brixton,Sharkbear!,12,1
Reading Half 2022,2022-04-02,Brixton,Zoo,8,7
Reading Half 2022,2022-04-02,Cambridge,Oxford Ultimate,13,6
Reading Half 2022,2022-04-02,Cambridge Ultimate 2,St Albans,9,5
Reading Half 2022,2022-04-02,Deep,Space,10,9
Reading Half 2022,2022-04-02,Deep,Thundering Herd Masters,9,5
Reading Half 2022,2022-04-02,Guildford Ultimate,St Albans,11,6
Reading Half 2022,2022-04-02,Guildford Ultimate,Thundering Herd,8,3
Reading Half 2022,2022-04-02,Lemmings,Deep,8,6
Reading Half 2022,2022-04-02,Lemmings,Reading 2,11,6
Reading Half 2022,2022-04-02,Lemmings,Thundering Herd Masters,11,6
Reading Half 2022,2022-04-02,Mixed Feelings,Brixton,9,8
Reading Half 2022,2022-04-02,Mixed Feelings,Cambridge Ultimate 2,9,5
Reading Half 2022,2022-04-02,Mixed Feelings,St Albans,7,5
Reading Half 2022,2022-04-02,Oxford Ultimate,Space,10,7
Reading Half 2022,2022-04-02,Oxford Ultimate,Thundering Herd Masters,11,7
Reading Half 2022,2022-04-02,Purple Cobras,BN1,8,4
Reading Half 2022,2022-04-02,Purple Cobras,Guildford Ultimate,7,5
Reading Half 2022,2022-04-02,Purple Cobras,Mixed Feelings,10,6
Reading Half 2022,2022-04-02,Reading,Cambridge,13,8
Reading Half 2022,2022-04-02,Reading,Lemmings,11,6
Reading Half 2022,2022-04-02,Reading,Oxford Ultimate,13,7
Reading Half 2022,2022-04-02,Reading,Space,9,8
Reading Half 2022,2022-04-02,Reading 2,Cambridge,11,9
Reading Half 2022,2022-04-02,Reading 2,Deep,11,6
Reading Half 2022,2022-04-02,Reading 2,Thundering Herd Masters,13,2
Reading Half 2022,2022-04-02,Reading 3,Cambridge Ultimate 2,11,8
Reading Half 2022,2022-04-02,Reading 3,Thundering Herd,10,9
Reading Half 2022,2022-04-02,Space,Cambridge,13,9
Reading Half 2022,2022-04-02,St Albans,Sharkbear!,11,3
Reading Half 2022,2022-04-02,Thundering Herd,Sharkbear!,13,2
Reading Half 2022,2022-04-02,Zoo,Reading 3,8,7
Reading Half 2022,2022-04-02,Zoo,Sharkbear!,13,1
Uni Fans 2022,2022-04-09,Bristol Mixed,Black Sheep,12,4
Uni Fans 2022,2022-04-09,Bristol Mixed,Plymouth Mixed,11,1
Uni Fans 2022,2022-04-09,Glasgow,Black Sheep,11,2
Uni Fans 2022,2022-04-09,Glasgow,Bristol Mixed,10,7
Uni Fans 2022,2022-04-09,Glasgow,MCP,5,4
Uni Fans 2022,2022-04-09,Lemmings,MCP,10,2
Uni Fans 2022,2022-04-09,Lemmings,Plymouth Mixed,11,3
Uni Fans 2022,2022-04-09,Lemmings,Sheffield Steal,10,4
Uni Fans 2022,2022-04-09,MCP,Black Sheep,10,4
Uni Fans 2022,2022-04-09,Sheffield Steal,Glasgow,7,6
Uni Fans 2022,2022-04-09,Sheffield Steal,Plymouth Mixed,11,2
Uni Fans 2022,2022-04-10,Glasgow,Plymouth Mixed,10,4
Uni Fans 2022,2022-04-10,Lemmings,Black Sheep,13,4
Uni Fans 2022,2022-04-10,Lemmings,Bristol Mixed,13,3
Uni Fans 2022,2022-04-10,Lemmings,Glasgow,13,7
Uni Fans 2022,2022-04-10,MCP,Bristol Mixed,10,5
Uni Fans 2022,2022-04-10,MCP,Plymouth Mixed,13,4
Uni Fans 2022,2022-04-10,MCP,Sheffield Steal,13,5
Uni Fans 2022,2022-04-10,Plymouth Mixed,Black Sheep,13,11
Uni Fans 2022,2022-04-10,Sheffield Steal,Black Sheep,13,6
Uni Fans 2022,2022-04-10,Sheffield Steal,Bristol Mixed,13,10
Grey Towers 2022,2022-06-18,Black Sheep,The Brown,6,5
Grey Towers 2022,2022-06-18,Glasgow,Black Sheep,8,3
Grey Towers 2022,2022-06-18,Glasgow,Nemesis,6,5
Grey Towers 2022,2022-06-18,Glasgow,The Brown,7,5
Grey Towers 2022,2022-06-18,Glasgow,YCU,7,6
Grey Towers 2022,2022-06-18,LLLeeds,Black Sheep,10,5
Grey Towers 2022,2022-06-18,LLLeeds,Glasgow,6,3
Grey Towers 2022,2022-06-18,LLLeeds,Nemesis,12,0
Grey Towers 2022,2022-06-18,LLLeeds,The Brown,10,3
Grey Towers 2022,2022-06-18,LLLeeds,YCU,8,5
Grey Towers 2022,2022-06-18,Nemesis,Black Sheep,8,1
Grey Towers 2022,2022-06-18,Nemesis,The Brown,7,4
Grey Towers 2022,2022-06-18,YCU,Black Sheep,9,2
Grey Towers 2022,2022-06-18,YCU,Nemesis,8,2
Grey Towers 2022,2022-06-18,YCU,The Brown,9,1
Moooxed 2022,2022-06-18,Birmingham Ultimate,Bristol Mixed,9,6
Moooxed 2022,2022-06-18,Birmingham Ultimate,Sharkbear!,15,1
Moooxed 2022,2022-06-18,Birmingham Ultimate,South Wales Storm,15,8
Moooxed 2022,2022-06-18,Bristol Mixed,Sharkbear!,15,2
Moooxed 2022,2022-06-18,Bristol Mixed,South Wales Storm,10,8
Moooxed 2022,2022-06-18,Brixton,Curve,10,9
Moooxed 2022,2022-06-18,Cambridge,Hustle,11,7
Moooxed 2022,2022-06-18,Cambridge,St Albans,14,7
Moooxed 2022,2022-06-18,Curve,Thundering,11,10
Moooxed 2022,2022-06-18,Herd,Cambridge,11,9
Moooxed 2022,2022-06-18,Herd,Hustle,14,7
Moooxed 2022,2022-06-18,Herd,St Albans,14,7
Moooxed 2022,2022-06-18,Hustle,St Albans,11,6
Moooxed 2022,2022-06-18,Mythago,GU,15,6
Moooxed 2022,2022-06-18,Mythago,Oxford Ultimate,12,10
Moooxed 2022,2022-06-18,Mythago,Zoo,12,7
Moooxed 2022,2022-06-18,Oxford Ultimate,GU,14,3
Moooxed 2022,2022-06-18,Oxford Ultimate,Zoo,14,7
Moooxed 2022,2022-06-18,South Wales Storm,Sharkbear!,10,8
Moooxed 2022,2022-06-18,Thundering,Brixton,13,10
Moooxed 2022,2022-06-18,Zoo,GU,11,6
Moooxed 2022,2022-06-19,Birmingham Ultimate,Curve,14,10
Moooxed 2022,2022-06-19,Brixton,GU,12,11
Moooxed 2022,2022-06-19,Cambridge,Curve,10,9
Moooxed 2022,2022-06-19,Curve,Bristol Mixed,11,10
Moooxed 2022,2022-06-19,GU,St Albans,10,7
Moooxed 2022,2022-06-19,Herd,Oxford Ultimate,14,11
Moooxed 2022,2022-06-19,Herd,Thundering,12,11
Moooxed 2022,2022-06-19,Hustle,Sharkbear!,14,6
Moooxed 2022,2022-06-19,Hustle,South Wales Storm,15,7
Moooxed 2022,2022-06-19,Hustle,Zoo,13,9
Moooxed 2022,2022-06-19,Mythago,Birmingham Ultimate,12,7
Moooxed 2022,2022-06-19,Mythago,Cambridge,15,6
Moooxed 2022,2022-06-19,Mythago,Herd,12,8
Moooxed 2022,2022-06-19,Oxford Ultimate,Bristol Mixed,11,9
Moooxed 2022,2022-06-19,Oxford Ultimate,Cambridge,15,9
Moooxed 2022,2022-06-19,Sharkbear!,GU,9,8
Moooxed 2022,2022-06-19,South Wales Storm,Brixton,10,9
Moooxed 2022,2022-06-19,South Wales Storm,St Albans,10,7
Moooxed 2022,2022-06-19,St Albans,Sharkbear!,11,10
Moooxed 2022,2022-06-19,Thundering,Birmingham Ultimate,13,9
Moooxed 2022,2022-06-19,Thundering,Bristol Mixed,11,5
Moooxed 2022,2022-06-19,Zoo,Brixton,15,9
YDG 2022,2022-07-09,Brighton Mixed,Brixton,15,4
YDG 2022,2022-07-09,Brighton Mixed,Norwich Ultimate,15,4
YDG 2022,2022-07-09,Brighton Mixed,St Albans,14,10
YDG 2022,2022-07-09,Bristol Mixed,Black Sheep,13,10
YDG 2022,2022-07-09,Bristol Mixed,Plymouth Mixed,11,10
YDG 2022,2022-07-09,Cambridge,Purple Cobras,10,7
YDG 2022,2022-07-09,Curve,Black Sheep,15,6
YDG 2022,2022-07-09,Curve,Bristol Mixed,15,6
YDG 2022,2022-07-09,Curve,Plymouth Mixed,15,4
YDG 2022,2022-07-09,Deep Space,Cambridge,15,2
YDG 2022,2022-07-09,Deep Space,Purple Cobras,15,4
YDG 2022,2022-07-09,Deep Space,SMOG Rising,10,8
YDG 2022,2022-07-09,Flyght Club,GU,11,10
YDG 2022,2022-07-09,Flyght Club,Zootopia,12,7
YDG 2022,2022-07-09,GU,Zootopia,11,6
YDG 2022,2022-07-09,Herd,South Wales Storm,14,6
YDG 2022,2022-07-09,Herd,Zoolander,15,12
YDG 2022,2022-07-09,Horsham Ultimate,Herd,15,4
YDG 2022,2022-07-09,Horsham Ultimate,South Wales Storm,15,7
YDG 2022,2022-07-09,Horsham Ultimate,Zoolander,15,5
YDG 2022,2022-07-09,Lemmings,Oxford Ultimate,15,12
YDG 2022,2022-07-09,Lemmings,Thundering,12,6
YDG 2022,2022-07-09,Mixed Feelings,Flyght Club,11,8
YDG 2022,2022-07-09,Mixed Feelings,GU,15,2
YDG 2022,2022-07-09,Mixed Feelings,Zootopia,15,5
YDG 2022,2022-07-09,Norwich Ultimate,Brixton,12,8
YDG 2022,2022-07-09,Norwich Ultimate,St Albans,14,8
YDG 2022,2022-07-09,Oxford Ultimate,Thundering,15,12
YDG 2022,2022-07-09,Plymouth Mixed,Black Sheep,13,9
YDG 2022,2022-07-09,Reading,Lemmings,15,6
YDG 2022,2022-07-09,Reading,Oxford Ultimate,15,4
YDG 2022,2022-07-09,Reading,Thundering,15,4
YDG 2022,2022-07-09,SMOG Rising,Cambridge,15,13
YDG 2022,2022-07-09,SMOG Rising,Purple Cobras,15,1
YDG 2022,2022-07-09,St Albans,Brixton,15,8
YDG 2022,2022-07-09,Zoolander,South Wales Storm,14,8
YDG 2022,2022-07-10,Brighton Mixed,Cambridge,11,7
YDG 2022,2022-07-10,Brighton Mixed,Purple Cobras,11,7
YDG 2022,2022-07-10,Brixton,GU,12,6
YDG 2022,2022-07-10,Brixton,Plymouth Mixed,14,7
YDG 2022,2022-07-10,Brixton,Zoolander,10,7
YDG 2022,2022-07-10,Cambridge,Curve,14,12
YDG 2022,2022-07-10,Deep Space,SMOG Rising,15,8
YDG 2022,2022-07-10,Flyght Club,Bristol Mixed,8,7
YDG 2022,2022-07-10,Flyght Club,Norwich Ultimate,11,10
YDG 2022,2022-07-10,GU,South Wales Storm,11,8
YDG 2022,2022-07-10,Herd,Bristol Mixed,15,9
YDG 2022,2022-07-10,Herd,Flyght Club,13,7
YDG 2022,2022-07-10,Herd,Norwich Ultimate,11,10
YDG 2022,2022-07-10,Horsham Ultimate,Cambridge,13,8
YDG 2022,2022-07-10,Horsham Ultimate,Mixed Feelings,10,7
YDG 2022,2022-07-10,Lemmings,Deep Space,13,12
YDG 2022,2022-07-10,Mixed Feelings,Purple Cobras,10,8
YDG 2022,2022-07-10,Norwich Ultimate,Bristol Mixed,12,6
YDG 2022,2022-07-10,Oxford Ultimate,Curve,15,11
YDG 2022,2022-07-10,Oxford Ultimate,Mixed Feelings,13,9
YDG 2022,2022-07-10,Oxford Ultimate,Thundering,15,0
YDG 2022,2022-07-10,Plymouth Mixed,Black Sheep,12,10
YDG 2022,2022-07-10,Purple Cobras,Curve,10,9
YDG 2022,2022-07-10,Reading,Lemmings,15,9
YDG 2022,2022-07-10,Reading,SMOG Rising,15,11
YDG 2022,2022-07-10,South Wales Storm,Plymouth Mixed,12,7
YDG 2022,2022-07-10,South Wales Storm,Zootopia,12,10
YDG 2022,2022-07-10,St Albans,Black Sheep,13,8
YDG 2022,2022-07-10,St Albans,GU,11,9
YDG 2022,2022-07-10,Thundering,Brighton Mixed,13,10
YDG 2022,2022-07-10,Thundering,Horsham Ultimate,10,8
YDG 2022,2022-07-10,Zoolander,St Albans,15,7
YDG 2022,2022-07-10,Zoolander,Zootopia,12,6
YDG 2022,2022-07-10,Zootopia,Black Sheep,13,8
Regionals North 2022,2022-08-13,Birmingham Ultimate,Nemesis,12,6
Regionals North 2022,2022-08-13,Black Sheep,Cambridge,12,10
Regionals North 2022,2022-08-13,Glasgow,Black Sheep,15,4
Regionals North 2022,2022-08-13,Glasgow,Cambridge,15,4
Regionals North 2022,2022-08-13,Lemmings,Birmingham Ultimate,14,4
Regionals North 2022,2022-08-13,Lemmings,Nemesis,14,3
Regionals North 2022,2022-08-13,Lemmings,SMOG Rising,11,7
Regionals North 2022,2022-08-13,SMOG,Black Sheep,15,1
Regionals North 2022,2022-08-13,SMOG,Cambridge,15,2
Regionals North 2022,2022-08-13,SMOG,Glasgow,14,5
Regionals North 2022,2022-08-13,SMOG Rising,Birmingham Ultimate,12,7
Regionals North 2022,2022-08-13,SMOG Rising,Nemesis,15,4
Regionals South 2022,2022-08-13,Brighton,Guildford,7,5
Regionals South 2022,2022-08-13,Brighton,Thundering Herd 2,9,5
Regionals South 2022,2022-08-13,Deep Space,Brighton,14,4
Regionals South 2022,2022-08-13,Deep Space,Guildford,13,3
Regionals South 2022,2022-08-13,Deep Space,Oxford Ultimate,14,5
Regionals South 2022,2022-08-13,Deep Space,Zoo,15,1
Regionals South 2022,2022-08-13,Guildford,Thundering Herd 2,9,7
Regionals South 2022,2022-08-13,Mixed Feelings,Bristol Mixed,7,4
Regionals South 2022,2022-08-13,Oxford Ultimate,Brighton,13,4
Regionals South 2022,2022-08-13,Oxford Ultimate,Thundering Herd 2,12,2
Regionals South 2022,2022-08-13,Oxford Ultimate,Zoo,10,4
Regionals South 2022,2022-08-13,Purple Cobras,Bristol Mixed,12,3
Regionals South 2022,2022-08-13,Purple Cobras,Mixed Feelings,9,6
Regionals South 2022,2022-08-13,Reading,Bristol Mixed,15,2
