Tournament,Date_First,Date_Last,N_Teams_EUF,N_Teams_All,N_Games
Reading Half 2022,2022-04-02,2022-04-02,20,20,40
Uni Fans 2022,2022-04-09,2022-04-10,7,7,21
Grey Towers 2022,2022-06-18,2022-06-18,6,6,15
Moooxed 2022,2022-06-18,2022-06-19,15,15,43
YDG 2022,2022-07-09,2022-07-10,24,24,70
Regionals North 2022,2022-08-13,2022-08-14,8,8,20
Regionals South 2022,2022-08-13,2022-08-14,11,11,40
Nationals 2022,2022-09-03,2022-09-04,12,12,31
