Team,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Mythago,1,6,6,0,1.0,0.5163690476190476,78,44,5.666666666666667,1.0,39,0
SMOG,2,10,10,0,1.0,0.48545426795426794,147,51,9.6,1.0,39,1
Big Fish Little Fish,1,4,4,0,1.0,0.43768939393939393,45,20,6.25,1.0,30,0
LLLeeds,1,5,5,0,1.0,0.3193650793650794,46,16,6.0,1.0,20,0
Reading,4,21,19,2,0.9047619047619048,0.5651153763758805,274,132,6.761904761904762,1.0,48,1
Deep Space,3,18,16,2,0.8888888888888888,0.4920942483442483,223,113,6.111111111111111,1.0,41,1
Brighton Mixed,1,6,5,1,0.8333333333333334,0.404752886002886,76,45,5.166666666666667,1.0,38,0
Horsham Ultimate,1,6,5,1,0.8333333333333334,0.522886427298192,76,41,5.833333333333333,1.0,36,0
Herd,2,12,10,2,0.8333333333333334,0.5452299783549783,145,116,2.4166666666666665,1.0,42,1
Reading 2,1,4,3,1,0.75,0.3791208791208791,41,28,3.25,1.0,27,0
BN1,1,4,3,1,0.75,0.3991477272727273,39,17,5.5,1.0,29,0
Lemmings,5,26,19,7,0.7307692307692307,0.5798726273726273,278,214,2.4615384615384617,1.0,42,1
Sheffield Steal,1,6,4,2,0.6666666666666666,0.4362657712657712,53,47,1.0,1.0,36,0
Flyght Club,1,6,4,2,0.6666666666666666,0.43950980392156863,57,58,-0.16666666666666666,1.0,33,0
Oxford Ultimate,5,30,20,10,0.6666666666666666,0.5097787876611406,324,266,1.9333333333333333,1.0,49,1
Hustle,1,6,4,2,0.6666666666666666,0.3976190476190476,67,53,2.3333333333333335,1.0,39,0
MCP,1,6,4,2,0.6666666666666666,0.4362657712657712,52,33,3.1666666666666665,1.0,36,0
Mixed Feelings,3,17,11,6,0.6470588235294118,0.42503565062388593,150,122,1.6470588235294117,1.0,44,1
Birmingham Ultimate,3,16,10,6,0.625,0.41664575008325005,167,135,2.0,1.0,48,1
Glasgow,4,21,13,8,0.6190476190476191,0.5083499040641898,180,160,0.9523809523809523,1.0,43,1
YCU,1,5,3,2,0.6,0.39936507936507937,37,20,3.4,1.0,20,0
Deep,1,4,2,2,0.5,0.4326923076923077,31,33,-0.5,1.0,19,0
Zoolander,1,6,3,3,0.5,0.5048611111111111,65,61,0.6666666666666666,1.0,26,0
Guildford Ultimate,1,4,2,2,0.5,0.4616477272727273,28,27,0.25,1.0,30,0
Reading 3,1,4,2,2,0.5,0.515625,33,36,-0.75,1.0,24,0
Norwich Ultimate,1,6,3,3,0.5,0.55875,62,59,0.5,1.0,35,0
Brixton,3,15,7,8,0.4666666666666667,0.4562433155080214,139,148,-0.6,1.0,39,1
Thundering,2,11,5,6,0.45454545454545453,0.65955241727969,103,122,-1.7272727272727273,1.0,41,1
Curve,2,11,5,6,0.45454545454545453,0.3667735799553981,127,109,1.6363636363636365,1.0,46,1
Zoo,3,16,7,9,0.4375,0.5070532796451914,117,138,-1.3125,1.0,43,1
South Wales Storm,2,12,5,7,0.4166666666666667,0.43701388888888887,106,135,-2.4166666666666665,1.0,38,1
Purple Cobras,4,22,9,13,0.4090909090909091,0.5866706214166107,154,203,-2.227272727272727,1.0,47,1
SMOG Rising,3,15,6,9,0.4,0.6681718281718282,171,154,1.1333333333333333,1.0,42,1
Brighton,1,8,3,5,0.375,0.5138099747474747,44,71,-3.375,1.0,33,0
Thundering Herd,3,16,6,10,0.375,0.6132514217808336,126,148,-1.375,1.0,43,1
St Albans,3,16,5,11,0.3125,0.4194094304388422,136,167,-1.9375,1.0,46,1
Cambridge,4,21,6,15,0.2857142857142857,0.609076307290593,182,247,-3.0952380952380953,1.0,48,1
Guildford,1,7,2,5,0.2857142857142857,0.4854245031345871,38,59,-3.0,1.0,39,0
Nemesis,3,15,4,11,0.26666666666666666,0.48353035853035853,90,158,-4.533333333333333,1.0,41,1
Cambridge Ultimate 2,1,4,1,3,0.25,0.5523897058823529,24,38,-3.5,1.0,28,0
Plymouth Mixed,2,12,3,9,0.25,0.4028635253635254,80,138,-4.833333333333333,1.0,42,1
GU,2,12,3,9,0.25,0.47162990196078436,93,131,-3.1666666666666665,1.0,40,1
Space,1,4,1,3,0.25,0.5892857142857143,37,38,-0.25,1.0,31,0
Bristol Mixed,4,25,6,19,0.24,0.47117300673183027,184,239,-2.2,1.0,49,1
Zootopia,1,6,1,5,0.16666666666666666,0.43191721132897604,47,70,-3.8333333333333335,1.0,36,0
Thundering Herd 2,1,7,1,6,0.14285714285714285,0.5058326663998932,35,65,-4.285714285714286,1.0,39,0
Black Sheep,5,27,3,24,0.1111111111111111,0.47133363550030216,164,322,-5.851851851851852,1.0,48,1
Sharkbear!,2,10,1,9,0.1,0.41025,43,122,-7.9,1.0,42,1
Thundering Herd Masters,1,4,0,4,0.0,0.6618589743589743,20,44,-6.0,1.0,30,0
The Brown,1,5,0,5,0.0,0.5193650793650794,18,39,-4.2,1.0,20,0
