Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Mixed Imperial 2024,2024-03-23,BN1,Oxford Ultimate,11,4,600.0,0.9176629354822471,0,656.77,7,1,0,8.33,7,1,0,9.27544255204344
Mixed Imperial 2024,2024-03-23,Bermondsey Bombers,SOLENT,9,8,125.0,0.9459053029269173,0,-191.39,1,1,0,-0.45999999999999996,1,1,0,-0.9788569537196565
Mixed Imperial 2024,2024-03-23,Bermondsey Bombers,Zoo 1,15,2,600.0,1.0,0,751.05,13,1,0,9.81,13,1,0,9.456183837426916
Mixed Imperial 2024,2024-03-23,Bristol Mixed,Brixton,8,5,453.6039151898044,0.8271701918685112,0,252.86,3,1,0,2.82,3,1,0,3.0772075986633354
Mixed Imperial 2024,2024-03-23,Bristol Mixed,Cambridge Ultimate,15,3,600.0,1.0,0,511.89000000000004,12,1,0,7.25,12,1,0,7.080693554971322
Mixed Imperial 2024,2024-03-23,Brixton,Cambridge Ultimate,13,6,600.0,1.0,0,259.03000000000003,7,1,0,4.43,7,1,0,4.432748690228852
Mixed Imperial 2024,2024-03-23,Contested 1st,Black Sheep,15,6,600.0,1.0,0,510.88,9,1,0,5.82,9,1,0,6.0365110087385965
Mixed Imperial 2024,2024-03-23,Contested 1st,Muntjacs Ultimate,14,7,582.8868714046324,1.0,0,318.01,7,1,0,3.57,7,1,0,3.832665960343334
Mixed Imperial 2024,2024-03-23,Contested 1st,Reading,15,5,600.0,1.0,0,403.71000000000004,10,1,0,5.18,10,1,0,5.185475956809533
Mixed Imperial 2024,2024-03-23,Curve,Mamak,13,5,600.0,1.0,0,29.91999999999996,8,1,0,0.9299999999999997,8,1,0,0.48957604600204796
Mixed Imperial 2024,2024-03-23,Deep Space,Lemmings 2,13,6,600.0,1.0,0,165.47000000000003,7,1,0,1.5500000000000007,7,1,0,2.1253532324159856
Mixed Imperial 2024,2024-03-23,Deep Space,Thundering Herd 1,10,5,573.8977938505712,0.8885233166386386,0,497.77000000000004,5,1,0,6.07,5,1,0,6.863153297349978
Mixed Imperial 2024,2024-03-23,Flyght Mixed,Curve,13,7,557.5316737222639,1.0,0,637.6800000000001,6,1,0,8.290000000000001,6,1,0,8.456113962929468
Mixed Imperial 2024,2024-03-23,Flyght Mixed,Mamak,14,3,600.0,1.0,1,667.5999999999999,11,1,0,9.22,11,1,0,8.784066663219129
Mixed Imperial 2024,2024-03-23,GB Mixed,BN1,13,1,600.0,1.0,0,528.07,12,1,0,7.779999999999999,12,1,0,8.597740545382148
Mixed Imperial 2024,2024-03-23,GB Mixed,Deep Space,11,8,365.60925011032475,1.0,0,207.24,3,1,0,4.27,3,1,0,5.10142565868761
Mixed Imperial 2024,2024-03-23,GB Mixed,Lemmings 1,15,5,600.0,1.0,0,539.44,10,1,0,8.19,10,1,0,9.023033814637099
Mixed Imperial 2024,2024-03-23,GB Mixed,Lemmings 2,11,6,546.6949863040446,0.9459053029269173,0,372.71000000000004,5,1,0,5.82,5,1,0,6.894543655766032
Mixed Imperial 2024,2024-03-23,GB Mixed,Oxford Ultimate,15,4,600.0,1.0,0,1184.8400000000001,11,1,0,16.11,11,1,0,13.196044587795338
Mixed Imperial 2024,2024-03-23,GB Mixed,Thundering Herd 1,15,5,600.0,1.0,0,705.01,10,1,0,10.34,10,1,0,10.35349002758787
Mixed Imperial 2024,2024-03-23,LLLeeds Mixed 1,Bermondsey Bombers,8,4,564.8086448756737,0.7947194142390263,0,-169.15,4,1,0,-2.85,4,1,0,-2.8393401477282776
Mixed Imperial 2024,2024-03-23,LLLeeds Mixed 1,Zoo 1,11,4,600.0,0.9176629354822471,0,581.9,7,1,0,6.96,7,1,0,7.51342285738755
Mixed Imperial 2024,2024-03-23,Lemmings 1,BN1,10,9,125.0,1.0,0,-11.370000000000005,1,1,0,-0.41000000000000014,1,1,0,-0.6490943905015616
Mixed Imperial 2024,2024-03-23,Lemmings 1,Oxford Ultimate,11,5,600.0,0.9176629354822471,0,645.4,6,1,0,7.92,6,1,0,8.863521732031241
Mixed Imperial 2024,2024-03-23,Lemmings 2,Thundering Herd 1,12,5,600.0,0.9459053029269173,0,332.3,7,1,0,4.52,7,1,0,5.066241700835704
