Team,Rating_Sigmoid,Rating_Windmill,Rating_USAU,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
SMOG,199.8,12.01,711.17,2,10,10,0,1.0,0.48545426795426794,147,51,9.6,1.0,39,1
Reading,154.69,9.65,725.38,4,21,19,2,0.9047619047619048,0.5651153763758805,274,132,6.761904761904762,1.0,48,1
Deep Space,132.11,8.5,645.92,3,18,16,2,0.8888888888888888,0.4920942483442483,223,113,6.111111111111111,1.0,41,1
SMOG Rising,89.02,5.73,319.61,3,15,6,9,0.4,0.6681718281718282,171,154,1.1333333333333333,1.0,42,1
Big Fish Little Fish,85.66,5.71,595.79,1,4,4,0,1.0,0.43768939393939393,45,20,6.25,1.0,30,0
Lemmings,84.88,5.21,420.28,5,26,19,7,0.7307692307692307,0.5798726273726273,278,214,2.4615384615384617,1.0,42,1
Mythago,77.64,5.16,470.29,1,6,6,0,1.0,0.5163690476190476,78,44,5.666666666666667,1.0,39,0
Horsham Ultimate,71.21,4.9,375.83,1,6,5,1,0.8333333333333334,0.522886427298192,76,41,5.833333333333333,1.0,36,0
Reading 2,65.19,4.33,258.31,1,4,3,1,0.75,0.3791208791208791,41,28,3.25,1.0,27,0
BN1,55.23,4.17,246.93,1,4,3,1,0.75,0.3991477272727273,39,17,5.5,1.0,29,0
LLLeeds,54.05,3.4,294.63,1,5,5,0,1.0,0.3193650793650794,46,16,6.0,1.0,20,0
Oxford Ultimate,50.15,3.28,256.76,5,30,20,10,0.6666666666666666,0.5097787876611406,324,266,1.9333333333333333,1.0,49,1
Brighton Mixed,49.77,3.6,281.4,1,6,5,1,0.8333333333333334,0.404752886002886,76,45,5.166666666666667,1.0,38,0
Space,47.14,3.33,198.66,1,4,1,3,0.25,0.5892857142857143,37,38,-0.25,1.0,31,0
Deep,36.26,2.15,101.89,1,4,2,2,0.5,0.4326923076923077,31,33,-0.5,1.0,19,0
Glasgow,28.72,1.78,131.42,4,21,13,8,0.6190476190476191,0.5083499040641898,180,160,0.9523809523809523,1.0,43,1
Herd,22.94,1.71,215.24,2,12,10,2,0.8333333333333334,0.5452299783549783,145,116,2.4166666666666665,1.0,42,1
MCP,21.89,1.42,122.44,1,6,4,2,0.6666666666666666,0.4362657712657712,52,33,3.1666666666666665,1.0,36,0
Thundering Herd,21.56,1.27,126.51,3,16,6,10,0.375,0.6132514217808336,126,148,-1.375,1.0,43,1
YCU,15.67,1.23,48.65,1,5,3,2,0.6,0.39936507936507937,37,20,3.4,1.0,20,0
Birmingham Ultimate,14.42,1.12,66.24,3,16,10,6,0.625,0.41664575008325005,167,135,2.0,1.0,48,1
