Tournament,Date,Team_1,Team_2,Score_1,Score_2
Spring Invite Leuven,2023-04-21,7 Schwaben @ Spring Invite Leuven,Bora @ Spring Invite Leuven,15,9
Spring Invite Leuven,2023-04-21,7 Schwaben @ Spring Invite Leuven,Révolution'air @ Spring Invite Leuven,15,9
Spring Invite Leuven,2023-04-21,7 Schwaben @ Spring Invite Leuven,Uprising @ Spring Invite Leuven,15,9
Spring Invite Leuven,2023-04-21,7 Schwaben @ Spring Invite Leuven,XVI @ Spring Invite Leuven,13,8
Spring Invite Leuven,2023-04-21,Aarhus Ultimate @ Spring Invite Leuven,Frizzly Bears @ Spring Invite Leuven,15,14
Spring Invite Leuven,2023-04-21,Aarhus Ultimate @ Spring Invite Leuven,UFO @ Spring Invite Leuven,12,11
Spring Invite Leuven,2023-04-21,Aarhus Ultimate @ Spring Invite Leuven,XVI @ Spring Invite Leuven,13,10
Spring Invite Leuven,2023-04-21,Bad Skid @ Spring Invite Leuven,Aarhus Ultimate @ Spring Invite Leuven,15,6
Spring Invite Leuven,2023-04-21,Bad Skid @ Spring Invite Leuven,Hard2Fisch @ Spring Invite Leuven,15,7
Spring Invite Leuven,2023-04-21,Bad Skid @ Spring Invite Leuven,SMASH'D,15,6
Spring Invite Leuven,2023-04-21,Bad Skid @ Spring Invite Leuven,Terrible Monkeys @ Spring Invite Leuven,15,8
Spring Invite Leuven,2023-04-21,Bora @ Spring Invite Leuven,Révolution'air @ Spring Invite Leuven,13,12
Spring Invite Leuven,2023-04-21,Bora @ Spring Invite Leuven,Uprising @ Spring Invite Leuven,13,10
Spring Invite Leuven,2023-04-21,Freezzz Beezzz @ Spring Invite Leuven,7 Schwaben @ Spring Invite Leuven,15,8
Spring Invite Leuven,2023-04-21,Freezzz Beezzz @ Spring Invite Leuven,Aarhus Ultimate @ Spring Invite Leuven,15,9
Spring Invite Leuven,2023-04-21,Freezzz Beezzz @ Spring Invite Leuven,SMASH'D,15,11
Spring Invite Leuven,2023-04-21,Freezzz Beezzz @ Spring Invite Leuven,Uprising @ Spring Invite Leuven,13,11
Spring Invite Leuven,2023-04-21,Frizzly Bears @ Spring Invite Leuven,Bora @ Spring Invite Leuven,15,8
Spring Invite Leuven,2023-04-21,Frizzly Bears @ Spring Invite Leuven,Hard2Fisch @ Spring Invite Leuven,15,11
Spring Invite Leuven,2023-04-21,Gentle Open @ Spring Invite Leuven,Bora @ Spring Invite Leuven,15,4
Spring Invite Leuven,2023-04-21,Gentle Open @ Spring Invite Leuven,Freezzz Beezzz @ Spring Invite Leuven,15,11
Spring Invite Leuven,2023-04-21,Gentle Open @ Spring Invite Leuven,Révolution'air @ Spring Invite Leuven,15,6
Spring Invite Leuven,2023-04-21,Gentle Open @ Spring Invite Leuven,Terrible Monkeys @ Spring Invite Leuven,15,12
Spring Invite Leuven,2023-04-21,Gentle Open @ Spring Invite Leuven,Terrible Monkeys @ Spring Invite Leuven,15,0
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open @ Spring Invite Leuven,Aarhus Ultimate @ Spring Invite Leuven,15,9
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open @ Spring Invite Leuven,Bad Skid @ Spring Invite Leuven,15,14
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open @ Spring Invite Leuven,Frizzly Bears @ Spring Invite Leuven,15,10
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open @ Spring Invite Leuven,Gentle Open @ Spring Invite Leuven,13,12
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open @ Spring Invite Leuven,SMASH'D,15,7
Spring Invite Leuven,2023-04-21,JetSet Ultimate Open @ Spring Invite Leuven,XVI @ Spring Invite Leuven,15,8
Spring Invite Leuven,2023-04-21,SMASH'D,Hard2Fisch @ Spring Invite Leuven,15,9
Spring Invite Leuven,2023-04-21,SMASH'D,UFO @ Spring Invite Leuven,15,10
Spring Invite Leuven,2023-04-21,Terrible Monkeys @ Spring Invite Leuven,Bora @ Spring Invite Leuven,15,9
Spring Invite Leuven,2023-04-21,Terrible Monkeys @ Spring Invite Leuven,Révolution'air @ Spring Invite Leuven,15,5
Spring Invite Leuven,2023-04-21,Terrible Monkeys @ Spring Invite Leuven,UFO @ Spring Invite Leuven,15,12
Spring Invite Leuven,2023-04-21,UFO @ Spring Invite Leuven,7 Schwaben @ Spring Invite Leuven,15,12
Spring Invite Leuven,2023-04-21,UFO @ Spring Invite Leuven,Freezzz Beezzz @ Spring Invite Leuven,15,13
Spring Invite Leuven,2023-04-21,UFO @ Spring Invite Leuven,Uprising @ Spring Invite Leuven,14,7
Spring Invite Leuven,2023-04-21,Uprising @ Spring Invite Leuven,Hard2Fisch @ Spring Invite Leuven,15,4
Spring Invite Leuven,2023-04-21,Uprising @ Spring Invite Leuven,Révolution'air @ Spring Invite Leuven,11,10
Spring Invite Leuven,2023-04-21,XVI @ Spring Invite Leuven,Frizzly Bears @ Spring Invite Leuven,13,12
Spring Invite Leuven,2023-04-21,XVI @ Spring Invite Leuven,Hard2Fisch @ Spring Invite Leuven,15,5
Spring Invite Padova,2023-04-21,3SB - Open @ Spring Invite Padova,Alligators @ Spring Invite Padova,12,10
Spring Invite Padova,2023-04-21,3SB - Open @ Spring Invite Padova,Cus Padova Barbastreji @ Spring Invite Padova,15,8
Spring Invite Padova,2023-04-21,3SB - Open @ Spring Invite Padova,FWD>> @ Spring Invite Padova,15,6
Spring Invite Padova,2023-04-21,3SB - Open @ Spring Invite Padova,Flying Angels Bern @ Spring Invite Padova,15,9
