Tournament,Date_First,Date_Last,N_Teams_EUF,N_Teams_All,N_Games
Spring Startup,2023-04-22,2023-04-23,22,22,66
Manchester Mayhem,2023-05-14,2023-05-15,10,10,31
Windfarm,2023-06-03,2023-06-04,40,40,116
Regionals North,2023-07-29,2023-07-30,11,11,33
Regionals South,2023-07-29,2023-07-30,9,9,28
August Edition,2023-08-12,2023-08-13,6,6,15
Nationals,2023-08-27,2023-08-28,12,12,31
Nationals D2,2023-08-27,2023-08-28,10,10,33
