Team,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
GB Women,1,5,5,0,1.0,0.5466985645933014,72,30,8.4,1.0,23,0
Iceni,3,17,15,2,0.8823529411764706,0.49497646832012154,210,103,6.294117647058823,1.0,24,0
GB U24 Women,1,6,5,1,0.8333333333333334,0.39520202020202017,64,50,2.3333333333333335,1.0,21,0
Bristol,4,25,17,8,0.68,0.523950130364991,275,193,3.28,1.0,25,1
LMU,2,13,8,5,0.6153846153846154,0.5988526255042091,150,110,3.076923076923077,1.0,24,0
Dublin Gravity,2,13,8,5,0.6153846153846154,0.5030850184982121,137,115,1.6923076923076923,1.0,24,0
Ice Age,1,5,3,2,0.6,0.7357894736842105,63,47,3.2,1.0,16,0
GB Womens Masters,1,5,3,2,0.6,0.48907308377896613,67,50,3.4,1.0,21,0
Spice Ultimate,4,24,14,10,0.5833333333333334,0.5070311022826502,253,196,2.375,1.0,25,1
GB U20 Women,2,19,11,8,0.5789473684210527,0.39949835890034685,139,129,0.5263157894736842,1.0,24,0
Flame,1,7,4,3,0.5714285714285714,0.54229476405947,64,62,0.2857142857142857,1.0,24,0
SYC,4,30,15,15,0.5,0.5352469573769884,288,269,0.6333333333333333,1.0,25,1
Flyght Women,1,6,3,3,0.5,0.2718045112781955,51,35,2.6666666666666665,1.0,17,0
Reading 1,1,6,3,3,0.5,0.6246112710818593,74,73,0.16666666666666666,1.0,20,0
Lemmings 1,1,6,3,3,0.5,0.6461111111111112,54,58,-0.6666666666666666,1.0,22,0
Brighton Ultimate,3,19,9,10,0.47368421052631576,0.42693804050492984,130,185,-2.8947368421052633,1.0,25,1
SMOG Women,2,11,5,6,0.45454545454545453,0.6016303304538599,120,132,-1.0909090909090908,1.0,22,0
Guildford Ultimate Women,1,7,3,4,0.42857142857142855,0.2996240601503759,52,51,0.14285714285714285,1.0,17,0
Brixton,2,12,5,7,0.4166666666666667,0.4738886431765689,82,120,-3.1666666666666665,1.0,25,1
Horizon,3,17,6,11,0.35294117647058826,0.47532149996546286,152,168,-0.9411764705882353,1.0,25,1
SCRAM,2,12,4,8,0.3333333333333333,0.5309832367494907,110,126,-1.3333333333333333,1.0,24,0
Oxford Ultimate,1,7,2,5,0.2857142857142857,0.40689223057644114,45,70,-3.5714285714285716,1.0,24,0
Ireland U24 Women,1,6,1,5,0.16666666666666666,0.652046783625731,48,62,-2.3333333333333335,1.0,23,0
Chameleons,3,20,3,17,0.15,0.46211000918586065,89,233,-7.2,1.0,24,0
Mint,1,6,0,6,0.0,0.5893395252837977,12,80,-11.333333333333334,1.0,24,0
Yorkshire Women,1,6,0,6,0.0,0.4266290726817042,14,68,-9.0,1.0,20,0
