Tournament,Date,Team_1,Team_2,Score_1,Score_2
Spring Invite,2023-04-22,Bristol,Horizon,15,2
Spring Invite,2023-04-22,Bristol,SMOG Women,14,8
Spring Invite,2023-04-22,Bristol,SYC,14,8
Spring Invite,2023-04-22,Brixton,Chameleons,12,3
Spring Invite,2023-04-22,Brixton,Oxford Ultimate,9,7
Spring Invite,2023-04-22,Dublin Gravity,Brighton Ultimate,15,6
Spring Invite,2023-04-22,Dublin Gravity,SCRAM,13,5
Spring Invite,2023-04-22,Dublin Gravity,Spice Ultimate,15,6
Spring Invite,2023-04-22,GB U20 Women,Brixton,9,6
Spring Invite,2023-04-22,GB U20 Women,Brixton,9,6
Spring Invite,2023-04-22,GB U20 Women,Chameleons,10,4
Spring Invite,2023-04-22,GB U20 Women,Chameleons,13,0
Spring Invite,2023-04-22,GB U20 Women,GB U20 Women,1,1
Spring Invite,2023-04-22,GB U20 Women,Oxford Ultimate,8,6
Spring Invite,2023-04-22,GB U20 Women,Oxford Ultimate,11,3
Spring Invite,2023-04-22,Iceni,Reading 1,15,11
Spring Invite,2023-04-22,Iceni,SYC,15,5
Spring Invite,2023-04-22,LMU,Iceni,15,8
Spring Invite,2023-04-22,LMU,SYC,15,6
Spring Invite,2023-04-22,Oxford Ultimate,Chameleons,8,5
Spring Invite,2023-04-22,Reading 1,LMU,15,12
Spring Invite,2023-04-22,Reading 1,SYC,15,6
Spring Invite,2023-04-22,SCRAM,Brighton Ultimate,15,6
Spring Invite,2023-04-22,SMOG Women,Horizon,14,8
Spring Invite,2023-04-22,SMOG Women,SYC,13,10
Spring Invite,2023-04-22,SYC,Horizon,14,7
Spring Invite,2023-04-22,Spice Ultimate,Brighton Ultimate,15,1
Spring Invite,2023-04-22,Spice Ultimate,SCRAM,15,6
Spring Invite,2023-04-23,Brighton Ultimate,GB U20 Women,13,7
Spring Invite,2023-04-23,Brighton Ultimate,Oxford Ultimate,15,6
Spring Invite,2023-04-23,Bristol,Reading 1,15,10
Spring Invite,2023-04-23,Bristol,Spice Ultimate,14,10
Spring Invite,2023-04-23,Brixton,Brighton Ultimate,12,5
Spring Invite,2023-04-23,Dublin Gravity,Bristol,10,9
Spring Invite,2023-04-23,Dublin Gravity,LMU,14,10
Spring Invite,2023-04-23,Dublin Gravity,Reading 1,13,10
Spring Invite,2023-04-23,GB U20 Women,Chameleons,15,7
Spring Invite,2023-04-23,GB U20 Women,GB U20 Women,5,4
Spring Invite,2023-04-23,Horizon,Chameleons,15,1
Spring Invite,2023-04-23,Horizon,GB U20 Women,15,4
Spring Invite,2023-04-23,Horizon,SYC,15,12
Spring Invite,2023-04-23,Iceni,SCRAM,15,6
Spring Invite,2023-04-23,Iceni,SYC,15,3
Spring Invite,2023-04-23,LMU,SMOG Women,15,10
Spring Invite,2023-04-23,LMU,Spice Ultimate,13,10
Spring Invite,2023-04-23,Oxford Ultimate,Chameleons,15,7
Spring Invite,2023-04-23,Reading 1,SMOG Women,13,12
Spring Invite,2023-04-23,SYC,Brixton,14,9
Spring Invite,2023-04-23,SYC,Oxford Ultimate,15,0
Spring Invite,2023-04-23,SYC,SCRAM,12,7
Spring Invite,2023-04-23,Spice Ultimate,SMOG Women,13,10
Windfarm,2023-06-03,Brighton Ultimate,Chameleons,10,3
Windfarm,2023-06-03,Brighton Ultimate,Flyght Women,7,5
Windfarm,2023-06-03,Brighton Ultimate,Guildford Ultimate Women,8,6
Windfarm,2023-06-03,Brighton Ultimate,Yorkshire Women,12,2
Windfarm,2023-06-03,Bristol,Horizon,11,6
Windfarm,2023-06-03,Bristol,SYC,9,7
Windfarm,2023-06-03,Chameleons,Guildford Ultimate Women,9,7
Windfarm,2023-06-03,Chameleons,Yorkshire Women,8,3
Windfarm,2023-06-03,Flyght Women,Chameleons,10,6
Windfarm,2023-06-03,Flyght Women,Guildford Ultimate Women,10,5
Windfarm,2023-06-03,Flyght Women,Yorkshire Women,13,0
Windfarm,2023-06-03,GB U24 Women,Ireland U24 Women,11,5
Windfarm,2023-06-03,GB U24 Women,Spice Ultimate,13,7
Windfarm,2023-06-03,GB Women,GB U20 Women,15,1
Windfarm,2023-06-03,GB Women,Ice Age,14,8
Windfarm,2023-06-03,GB Women,SYC,13,3
Windfarm,2023-06-03,GB Womens Masters,Horizon,11,8
Windfarm,2023-06-03,GB Womens Masters,SMOG Women,15,7
Windfarm,2023-06-03,GB Womens Masters,Spice Ultimate,15,6
Windfarm,2023-06-03,Guildford Ultimate Women,Yorkshire Women,10,4
Windfarm,2023-06-03,Ice Age,GB U20 Women,15,0
Windfarm,2023-06-03,Ice Age,Lemmings 1,15,5
Windfarm,2023-06-03,Ireland U24 Women,GB U20 Women,12,5
Windfarm,2023-06-03,Lemmings 1,Bristol,10,5
Windfarm,2023-06-03,SMOG Women,GB U24 Women,12,9
Windfarm,2023-06-03,SMOG Women,Horizon,12,7
