Team,Rating_Sigmoid,Rating_Windmill,Rating_USAU,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Tim Tam Slam,251.26,15.35,1266.79,1,5,5,0,1.0,0.5266666666666666,69,39,6.0,1.0,10,1
Deep Space Club,217.09,13.73,1104.19,1,5,4,1,0.8,0.6181818181818182,57,38,3.8,1.0,14,1
GB U24 Mixed,191.7,12.06,908.5,1,5,3,2,0.6,0.6581818181818182,53,44,1.8,1.0,14,1
GB Mixed Masters,182.93,10.95,710.27,1,5,4,1,0.8,0.5661319073083779,60,28,6.4,1.0,29,1
Lemmings 1,181.2,11.23,894.78,2,11,8,3,0.7272727272727273,0.5999948826855666,135,79,5.090909090909091,1.0,35,1
Deep Space,145.33,9.48,739.1,1,6,3,3,0.5,0.5589423648247177,70,57,2.1666666666666665,1.0,21,1
Reading 1,108.06,6.52,659.8,1,5,2,3,0.4,0.6466666666666667,35,58,-4.6,1.0,10,1
Oxford Ultimate,98.13,5.61,492.7,2,11,9,2,0.8181818181818182,0.4974268437257461,132,88,4.0,1.0,32,1
Newcastle Brown 1,97.46,6.01,509.96,1,6,6,0,1.0,0.5,89,37,8.666666666666666,1.0,22,1
Thundering Herd 1,84.89,5.8,517.43,2,11,9,2,0.8181818181818182,0.5264857980309712,134,82,4.7272727272727275,1.0,28,1
Newcastle Brown,75.82,4.48,386.82,2,11,4,7,0.36363636363636365,0.678852698104035,95,132,-3.3636363636363638,1.0,33,1
BN1,74.41,4.97,417.37,1,6,2,4,0.3333333333333333,0.6640726146918098,66,77,-1.8333333333333333,1.0,26,1
Thundering Herd Masters,62.32,4.51,415.84,1,6,5,1,0.8333333333333334,0.44090413943355117,72,48,4.0,1.0,25,1
Bristol Mixed,45.83,3.32,260.06,3,17,10,7,0.5882352941176471,0.5309196105499147,193,163,1.7647058823529411,1.0,36,1
Heck,37.35,2.47,284.24,1,6,5,1,0.8333333333333334,0.5555555555555555,78,52,4.333333333333333,1.0,17,1
Purple Cobras,33.77,2.57,214.47,3,19,14,5,0.7368421052631579,0.4585170591362542,220,153,3.526315789473684,1.0,39,1
Curve Vector,31.42,2.27,200.48,2,12,7,5,0.5833333333333334,0.6070118105721821,141,119,1.8333333333333333,1.0,30,1
Reading 2,21.19,1.32,183.23,3,17,9,8,0.5294117647058824,0.5379294676872532,165,173,-0.47058823529411764,1.0,35,1
SOLENT Mixed,13.95,1.01,139.69,3,18,11,7,0.6111111111111112,0.5606572754921567,189,168,1.1666666666666667,1.0,35,1
Contested 1st,-9.97,-0.46,-18.36,3,18,9,9,0.5,0.4903293339309851,188,157,1.7222222222222223,1.0,38,1
Flyght Mixed,-10.33,-0.63,-6.15,2,11,4,7,0.36363636363636365,0.6046176655380145,92,104,-1.0909090909090908,1.0,31,1
Midlands Mixed Masters,-15.18,-0.72,-111.02,1,6,3,3,0.5,0.4166666666666667,74,56,3.0,1.0,25,1
Zoo,-30.08,-1.78,-123.2,1,5,3,2,0.6,0.4434290271132376,44,47,-0.6,1.0,24,1
Sheffield Steal,-31.84,-1.89,-147.58,2,12,4,8,0.3333333333333333,0.5669045980965486,108,124,-1.3333333333333333,1.0,35,1
Mamak Ultimate,-33.68,-2.59,-100.69,1,6,4,2,0.6666666666666666,0.5,69,59,1.6666666666666667,1.0,16,1
Cambridge Ultimate Mixed A,-33.93,-2.43,-125.58,1,6,1,5,0.16666666666666666,0.6472308221534228,47,72,-4.166666666666667,1.0,23,1
Halcyon Mixed,-36.72,-2.81,-146.0,1,6,3,3,0.5,0.5277777777777778,65,61,0.6666666666666666,1.0,21,1
South Wales Storm,-58.0,-4.16,-264.77,2,12,6,6,0.5,0.3883869656315477,100,105,-0.4166666666666667,1.0,34,1
GUXYZ,-62.67,-4.63,-203.48,1,6,4,2,0.6666666666666666,0.3664717348927875,50,43,1.1666666666666667,1.0,31,1
Brixton,-63.23,-3.78,-262.77,3,19,8,11,0.42105263157894735,0.47084735010431605,171,184,-0.6842105263157895,1.0,33,1
Epsom Ultimate Mixed,-71.98,-4.7,-401.19,1,5,1,4,0.2,0.4964705882352941,43,56,-2.6,1.0,30,1
Bristol Mixed 2,-78.25,-4.88,-337.2,1,7,3,4,0.42857142857142855,0.420281094894098,62,71,-1.2857142857142858,1.0,26,1
Cambridge Ultimate Mixed 1,-85.16,-5.44,-394.08,3,20,8,12,0.4,0.4728846961432101,144,205,-3.05,1.0,35,1
Thundering Herd 2,-86.48,-5.39,-425.54,3,18,6,12,0.3333333333333333,0.44296157059314956,134,159,-1.3888888888888888,1.0,33,1
Black Sheep Ultimate,-116.09,-7.07,-529.98,3,18,8,10,0.4444444444444444,0.32997249759375663,156,172,-0.8888888888888888,1.0,35,1
Curve Trajectory,-117.27,-7.43,-619.15,3,17,5,12,0.29411764705882354,0.4118956035364704,119,167,-2.823529411764706,1.0,31,1
Newcastle Brown 2,-153.71,-9.16,-758.53,1,6,2,4,0.3333333333333333,0.4351851851851852,56,76,-3.3333333333333335,1.0,23,1
Flying Sheep Mixed,-161.04,-10.63,-599.44,1,6,1,5,0.16666666666666666,0.5740740740740741,29,84,-9.166666666666666,1.0,28,1
Birmingham Ultimate,-179.86,-11.4,-890.5,2,12,2,10,0.16666666666666666,0.37636165577342046,67,122,-4.583333333333333,1.0,29,1
LLLeeds Mixed,-256.58,-16.01,-1344.1,1,6,0,6,0.0,0.4008714596949891,12,68,-9.333333333333334,1.0,25,1
Sneeekys A,-262.06,-15.66,-1408.33,1,6,0,6,0.0,0.39814814814814814,29,85,-9.333333333333334,1.0,27,1
