Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Leicester Open 2025,2025-03-22,Brighton Open,Manchester Bees,15,10,453.6039151898044,1.0,0,623.63,5,1,0,8.48,5,1,0,8.502554409835568
Leicester Open 2025,2025-03-22,Brighton Open,Manchester Ultimate,15,6,600.0,1.0,0,400.47,9,1,0,4.43,9,1,0,5.078862083323379
Leicester Open 2025,2025-03-22,Cambridge Ultimate Open 1,DED,15,12,300.4922431832018,1.0,0,156.98000000000002,3,1,0,1.51,3,1,0,1.8342740768985486
Leicester Open 2025,2025-03-22,Cambridge Ultimate Open 1,LLLeeds Open 1,12,11,125.0,1.0,0,277.37,1,1,0,1.85,1,1,0,2.7343444587668877
Leicester Open 2025,2025-03-22,DED,Newcastle Brown,15,10,453.6039151898044,1.0,0,192.62,5,1,0,1.6900000000000002,5,1,0,2.5453870729462444
Leicester Open 2025,2025-03-22,Fire of London,Brighton Open,13,10,328.14240231865136,1.0,0,56.69,3,1,0,0.71,3,1,0,0.8458517264033585
Leicester Open 2025,2025-03-22,Fire of London,Flyght Open 1,15,8,564.8086448756737,1.0,0,309.47,7,1,0,3.43,7,1,0,3.792677921448824
Leicester Open 2025,2025-03-22,Fire of London,Manchester Bees,15,5,600.0,1.0,1,680.32,10,1,0,9.19,10,1,0,9.058849071380045
Leicester Open 2025,2025-03-22,Flyght Open 1,Birmingham Ultimate,15,3,600.0,1.0,1,805.85,12,1,0,9.67,12,1,0,10.13379914885045
Leicester Open 2025,2025-03-22,GB U20 Open,SMASH'D 1,13,9,418.5661446562001,1.0,0,173.45,4,1,0,2.05,4,1,0,2.1885194483953185
Leicester Open 2025,2025-03-22,GB U20 Open,SOLENT White,13,12,125.0,1.0,0,214.66,1,1,0,3.35,1,1,0,3.4373612082055267
Leicester Open 2025,2025-03-22,Ka-Pow!,Lemmings Open 1,15,10,453.6039151898044,1.0,0,152.58999999999997,5,1,0,2.24,5,1,0,2.408963168674454
Leicester Open 2025,2025-03-22,Ka-Pow!,SMASH'D 1,13,8,496.1596377856195,1.0,0,544.47,5,1,0,7.3500000000000005,5,1,0,7.252591078244368
