Tournament,Date_First,Date_Last,N_Teams_EUF,N_Teams_All,N_Games
Mixed Imperial 2024,2024-03-23,2024-03-24,22,22,68
Uni Fans 2024,2024-04-13,2024-04-14,16,16,44
Manchester Mayhem 2024,2024-05-11,2024-05-12,15,15,44
Moooxed 2024,2024-05-11,2024-05-12,7,7,20
Regionals-North 2024,2024-06-08,2024-06-09,11,11,30
Regionals-South 2024,2024-06-08,2024-06-09,11,11,30
Nationals 2024,2024-07-06,2024-07-07,8,8,20
Nationals Div 2 2024,2024-07-06,2024-07-07,6,6,16
EUF Summer Tour 2024 - Birmingham,2024-08-03,2024-08-04,5,5,12
The One Where We All Play Mixed 2024,2024-08-03,2024-08-04,11,11,34
