Tournament,Date,Team_1,Team_2,Score_1,Score_2
Mixed Imperial 2024,2024-03-23,BN1,Oxford Ultimate,11,4
Mixed Imperial 2024,2024-03-23,Bermondsey Bombers,SOLENT,9,8
Mixed Imperial 2024,2024-03-23,Bermondsey Bombers,Zoo 1,15,2
Mixed Imperial 2024,2024-03-23,Bristol Mixed,Brixton,8,5
Mixed Imperial 2024,2024-03-23,Bristol Mixed,Cambridge Ultimate,15,3
Mixed Imperial 2024,2024-03-23,Brixton,Cambridge Ultimate,13,6
Mixed Imperial 2024,2024-03-23,Contested 1st,Black Sheep,15,6
Mixed Imperial 2024,2024-03-23,Contested 1st,Muntjacs Ultimate,14,7
Mixed Imperial 2024,2024-03-23,Contested 1st,Reading,15,5
Mixed Imperial 2024,2024-03-23,Curve,Mamak,13,5
Mixed Imperial 2024,2024-03-23,Deep Space,Lemmings 2,13,6
Mixed Imperial 2024,2024-03-23,Deep Space,Thundering Herd 1,10,5
Mixed Imperial 2024,2024-03-23,Flyght Mixed,Curve,13,7
Mixed Imperial 2024,2024-03-23,Flyght Mixed,Mamak,14,3
Mixed Imperial 2024,2024-03-23,GB Mixed,BN1,13,1
Mixed Imperial 2024,2024-03-23,GB Mixed,Deep Space,11,8
Mixed Imperial 2024,2024-03-23,GB Mixed,Lemmings 1,15,5
Mixed Imperial 2024,2024-03-23,GB Mixed,Lemmings 2,11,6
Mixed Imperial 2024,2024-03-23,GB Mixed,Oxford Ultimate,15,4
Mixed Imperial 2024,2024-03-23,GB Mixed,Thundering Herd 1,15,5
Mixed Imperial 2024,2024-03-23,LLLeeds Mixed 1,Bermondsey Bombers,8,4
Mixed Imperial 2024,2024-03-23,LLLeeds Mixed 1,Zoo 1,11,4
Mixed Imperial 2024,2024-03-23,Lemmings 1,BN1,10,9
Mixed Imperial 2024,2024-03-23,Lemmings 1,Oxford Ultimate,11,5
Mixed Imperial 2024,2024-03-23,Lemmings 2,Thundering Herd 1,12,5
Mixed Imperial 2024,2024-03-23,Muntjacs Ultimate,Black Sheep,11,3
Mixed Imperial 2024,2024-03-23,Muntjacs Ultimate,Reading,12,6
Mixed Imperial 2024,2024-03-23,Reading,Black Sheep,10,8
Mixed Imperial 2024,2024-03-23,SOLENT,Bristol Mixed,8,7
Mixed Imperial 2024,2024-03-23,SOLENT,Brixton,12,8
Mixed Imperial 2024,2024-03-23,SOLENT,Cambridge Ultimate,14,6
Mixed Imperial 2024,2024-03-23,SOLENT,LLLeeds Mixed 1,9,6
Mixed Imperial 2024,2024-03-23,SOLENT,Zoo 1,10,1
Mixed Imperial 2024,2024-03-23,Sheffield Steal,Curve,9,5
Mixed Imperial 2024,2024-03-23,Sheffield Steal,Flyght Mixed,8,5
Mixed Imperial 2024,2024-03-23,Sheffield Steal,Mamak,15,3
Mixed Imperial 2024,2024-03-24,BN1,Contested 1st,11,5
Mixed Imperial 2024,2024-03-24,BN1,SOLENT,11,3
Mixed Imperial 2024,2024-03-24,Bermondsey Bombers,Muntjacs Ultimate,12,5
Mixed Imperial 2024,2024-03-24,Bermondsey Bombers,Reading,11,5
Mixed Imperial 2024,2024-03-24,Black Sheep,Zoo 1,15,2
Mixed Imperial 2024,2024-03-24,Bristol Mixed,Bermondsey Bombers,10,9
Mixed Imperial 2024,2024-03-24,Bristol Mixed,Curve,12,9
Mixed Imperial 2024,2024-03-24,Bristol Mixed,Flyght Mixed,12,7
Mixed Imperial 2024,2024-03-24,Brixton,Muntjacs Ultimate,12,4
Mixed Imperial 2024,2024-03-24,Cambridge Ultimate,Black Sheep,11,10
Mixed Imperial 2024,2024-03-24,Cambridge Ultimate,Mamak,15,8
Mixed Imperial 2024,2024-03-24,Contested 1st,Thundering Herd 1,13,12
Mixed Imperial 2024,2024-03-24,Curve,LLLeeds Mixed 1,11,4
Mixed Imperial 2024,2024-03-24,Curve,Muntjacs Ultimate,9,7
Mixed Imperial 2024,2024-03-24,Deep Space,Lemmings 1,15,11
Mixed Imperial 2024,2024-03-24,Flyght Mixed,LLLeeds Mixed 1,12,5
Mixed Imperial 2024,2024-03-24,Flyght Mixed,Reading,10,2
Mixed Imperial 2024,2024-03-24,GB Mixed,Deep Space,15,5
Mixed Imperial 2024,2024-03-24,GB Mixed,GB Mixed,15,14
