Year,Calendar_Week,Date_Start,Date_End,N_Tournaments,N_Teams_EUF,N_Teams_All,N_Games,N_Tournaments_Cum,N_Teams_EUF_Cum,N_Teams_All_Cum,N_Games_Cum,N_Components,N_Components_All,Max_Component_Size
2024,16,2024-04-15,2024-04-21,2,14,14,36,2,14,14,36,2,10,10
2024,17,2024-04-22,2024-04-28,0,0,0,0,2,14,14,36,2,10,10
2024,18,2024-04-29,2024-05-05,0,0,0,0,2,14,14,36,2,10,10
2024,19,2024-05-06,2024-05-12,0,0,0,0,2,14,14,36,2,10,10
2024,20,2024-05-13,2024-05-19,0,0,0,0,2,14,14,36,2,10,10
2024,21,2024-05-20,2024-05-26,1,17,17,50,3,22,22,86,1,1,22
2024,22,2024-05-27,2024-06-02,0,0,0,0,3,22,22,86,1,1,22
2024,23,2024-06-03,2024-06-09,0,0,0,0,3,22,22,86,1,1,22
2024,24,2024-06-10,2024-06-16,0,0,0,0,3,22,22,86,1,1,22
2024,25,2024-06-17,2024-06-23,0,0,0,0,3,22,22,86,1,1,22
2024,26,2024-06-24,2024-06-30,0,0,0,0,3,22,22,86,1,1,22
2024,27,2024-07-01,2024-07-07,1,8,8,20,4,22,22,106,1,1,22
