Tournament,Date,Team_1,Team_2,Score_1,Score_2
EUF Spring Tour 2024,2024-04-20,Bristol Women,Gravity,12,9
EUF Spring Tour 2024,2024-04-20,Bristol Women,Spice,15,3
EUF Spring Tour 2024,2024-04-20,Gravity,Horizon,13,7
EUF Spring Tour 2024,2024-04-20,Iceni,Horizon,15,4
EUF Spring Tour 2024,2024-04-20,Iceni,Mooncup,10,9
EUF Spring Tour 2024,2024-04-20,Iceni,Seagulls,13,7
EUF Spring Tour 2024,2024-04-20,LMU,Gravity,10,8
EUF Spring Tour 2024,2024-04-20,LMU,Horizon,15,4
EUF Spring Tour 2024,2024-04-20,LMU,Seagulls,13,7
EUF Spring Tour 2024,2024-04-20,Mooncup,SMOG Women,11,9
EUF Spring Tour 2024,2024-04-20,Mooncup,SYC,15,2
EUF Spring Tour 2024,2024-04-20,SMOG Women,Bristol Women,12,11
EUF Spring Tour 2024,2024-04-20,SMOG Women,Spice,15,9
EUF Spring Tour 2024,2024-04-20,SYC,Seagulls,13,11
EUF Spring Tour 2024,2024-04-20,SYC,Spice,11,9
Spring Startup 2024,2024-04-20,Brixton,Chameleons,11,8
Spring Startup 2024,2024-04-20,Brixton,Kestrels,12,6
Spring Startup 2024,2024-04-20,GB U20,Brixton,13,7
Spring Startup 2024,2024-04-20,GB U20,Chameleons,13,2
Spring Startup 2024,2024-04-20,GB U20,Kestrels,11,9
Spring Startup 2024,2024-04-20,Kestrels,Chameleons,12,6
EUF Spring Tour 2024,2024-04-21,Bristol Women,Mooncup,10,8
EUF Spring Tour 2024,2024-04-21,Bristol Women,SYC,12,7
EUF Spring Tour 2024,2024-04-21,Iceni,Bristol Women,12,11
EUF Spring Tour 2024,2024-04-21,Iceni,Gravity,12,7
EUF Spring Tour 2024,2024-04-21,Iceni,LMU,9,7
EUF Spring Tour 2024,2024-04-21,LMU,Spice,12,7
EUF Spring Tour 2024,2024-04-21,Mooncup,LMU,14,10
EUF Spring Tour 2024,2024-04-21,Mooncup,Spice,9,6
EUF Spring Tour 2024,2024-04-21,SMOG Women,Gravity,10,9
EUF Spring Tour 2024,2024-04-21,SMOG Women,Horizon,14,9
