Year,Calendar_Week,Date_Start,Date_End,N_Tournaments,N_Teams_EUF,N_Teams_All,N_Games,N_Tournaments_Cum,N_Teams_EUF_Cum,N_Teams_All_Cum,N_Games_Cum,N_Components,N_Components_All,Max_Component_Size
2024,12,2024-03-18,2024-03-24,1,22,22,68,1,22,22,68,1,10,22
2024,13,2024-03-25,2024-03-31,0,0,0,0,1,22,22,68,1,10,22
2024,14,2024-04-01,2024-04-07,0,0,0,0,1,22,22,68,1,10,22
2024,15,2024-04-08,2024-04-14,1,16,16,44,2,27,27,112,1,5,27
2024,16,2024-04-15,2024-04-21,0,0,0,0,2,27,27,112,1,5,27
2024,17,2024-04-22,2024-04-28,0,0,0,0,2,27,27,112,1,5,27
2024,18,2024-04-29,2024-05-05,0,0,0,0,2,27,27,112,1,5,27
2024,19,2024-05-06,2024-05-12,2,22,22,64,4,31,31,176,1,1,31
