Team,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Splash'D,1,5,5,0,1.0,0.43022719409526006,75,31,8.8,1.0,29,1
Rebel Ultimate,1,5,5,0,1.0,0.520507768093975,70,47,4.6,1.0,29,1
GB Mixed,1,10,9,1,0.9,0.7390158752991852,139,74,6.5,1.0,24,1
Deep Space,4,20,18,2,0.9,0.5978796299228725,247,149,4.9,1.0,35,1
Tribe,1,5,4,1,0.8,0.4877866960625581,67,46,4.2,1.0,30,1
Lemmings 1,6,31,22,9,0.7096774193548387,0.559821160244478,377,255,3.935483870967742,1.0,34,1
Lemmings 2,1,6,4,2,0.6666666666666666,0.6615651958789214,65,50,2.5,1.0,31,1
Bermondsey Bombers,1,6,4,2,0.6666666666666666,0.5153272184205248,60,38,3.6666666666666665,1.0,31,1
LLLeeds Mixed 1,3,17,11,6,0.6470588235294118,0.3858672688922659,158,139,1.1176470588235294,1.0,34,1
Reading,4,21,13,8,0.6190476190476191,0.5683882381121766,234,178,2.6666666666666665,1.0,35,1
Oxford Ultimate,4,23,14,9,0.6086956521739131,0.5230659874933563,245,212,1.434782608695652,1.0,34,1
SOLENT,4,34,20,14,0.5882352941176471,0.5051108261905193,322,315,0.20588235294117646,1.0,35,1
BN1,5,26,15,11,0.5769230769230769,0.5894266737699021,275,247,1.0769230769230769,1.0,34,1
Flyght Mixed,5,26,15,11,0.5769230769230769,0.5200075447305295,273,232,1.5769230769230769,1.0,35,1
Heck,4,21,12,9,0.5714285714285714,0.5616364320123555,207,212,-0.23809523809523808,1.0,35,1
Bristol Mixed,5,29,16,13,0.5517241379310345,0.45629502820737,288,275,0.4482758620689655,1.0,35,1
Thundering Herd 1,5,27,14,13,0.5185185185185185,0.5851999810035973,271,266,0.18518518518518517,1.0,34,1
Flyght Mixed 2,1,6,3,3,0.5,0.4852208305555162,46,44,0.3333333333333333,1.0,31,1
Big Fish Little Fish,2,12,6,6,0.5,0.3769320634571649,116,104,1.0,1.0,33,1
Sheffield Steal,6,35,17,18,0.4857142857142857,0.48346320794084513,326,327,-0.02857142857142857,1.0,35,1
Contested 1st,5,29,14,15,0.4827586206896552,0.4870108102790309,294,288,0.20689655172413793,1.0,35,1
Newcastle Brown,4,22,10,12,0.45454545454545453,0.509164460651734,197,237,-1.8181818181818181,1.0,35,1
Muntjacs Ultimate,2,12,5,7,0.4166666666666667,0.4033087631604366,111,107,0.3333333333333333,1.0,33,1
Brixton,5,29,12,17,0.41379310344827586,0.5080436909852545,239,279,-1.3793103448275863,1.0,35,1
Cambridge Ultimate,1,5,2,3,0.4,0.41380933062880326,41,60,-3.8,1.0,30,1
Glasgow Mixed,2,10,4,6,0.4,0.5934314591600465,99,99,0.0,1.0,31,1
GUXYZ,5,29,10,19,0.3448275862068966,0.45888070397811503,255,293,-1.3103448275862069,1.0,35,1
Brum-ish,1,6,2,4,0.3333333333333333,0.4234811165845649,53,66,-2.1666666666666665,1.0,29,1
Thundering Herd 2,5,26,8,18,0.3076923076923077,0.5217700645283198,227,274,-1.8076923076923077,1.0,35,1
Black Sheep,4,25,7,18,0.28,0.3870390695173657,219,274,-2.2,1.0,34,1
Zoo 1,5,26,7,19,0.2692307692307692,0.44563453178525736,174,287,-4.346153846153846,1.0,35,1
Mamak,3,17,4,13,0.23529411764705882,0.4147052299857416,110,192,-4.823529411764706,1.0,35,1
Red,1,5,1,4,0.2,0.3622450980392157,40,55,-3.0,1.0,22,1
Curve,3,16,3,13,0.1875,0.45476380406273914,100,192,-5.75,1.0,35,1
Black Sheep Ultimate,1,7,1,6,0.14285714285714285,0.4069798467859806,35,77,-6.0,1.0,33,1
Birmingham Ultimate,1,7,1,6,0.14285714285714285,0.3929761179065099,45,79,-4.857142857142857,1.0,33,1
