Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Mixed Imperial,2023-03-26,Brixton,Sharkbear!,12,2,600.0,0.9459053029269173,1,673.2599999999999,10,1,0,7.03,10,1,0,7.381754489446045
Mixed Imperial,2023-03-26,Brixton,Zoo 1,5,3,418.5661446562001,0.6488856845230502,0,-68.27000000000004,2,1,0,-1.6499999999999995,2,1,0,-1.7433363035951253
Mixed Imperial,2023-03-26,Cambridge Ultimate,Mixed Feelings,15,10,453.6039151898044,1.0,0,141.51999999999998,5,1,0,1.52,5,1,0,1.164651132004991
Mixed Imperial,2023-03-26,Cambridge Ultimate,Purple Cobras,10,7,389.6652919127421,0.9459053029269173,0,101.24000000000001,3,1,0,1.29,3,1,0,1.2771503190371938
Mixed Imperial,2023-03-26,Deep Space,Reading 1,15,13,214.17926913507503,1.0,0,-36.039999999999964,2,1,0,0.5199999999999996,2,1,0,0.7508718731293538
Mixed Imperial,2023-03-26,GB U24 Mixed,BN1,11,8,365.60925011032475,1.0,0,364.96,3,1,0,5.22,3,1,0,5.4438683806743775
Mixed Imperial,2023-03-26,GB U24 Mixed,Cambridge Ultimate,14,5,600.0,1.0,0,465.41999999999996,9,1,0,6.859999999999999,9,1,0,7.731490720559904
Mixed Imperial,2023-03-26,GB U24 Mixed,Oxford Ultimate,15,4,600.0,1.0,0,348.46,11,1,0,4.619999999999999,11,1,0,5.340682820420032
Mixed Imperial,2023-03-26,Guildford,Plymouth Ultimate,8,4,564.8086448756737,0.7947194142390263,0,-101.49000000000001,4,1,0,-0.3600000000000003,4,1,0,-0.8301508850925714
Mixed Imperial,2023-03-26,Guildford,Sharkbear!,8,1,600.0,0.7608859102526822,0,426.14999999999986,7,1,0,4.42,7,1,0,4.848453255759576
Mixed Imperial,2023-03-26,Guildford,Zoo 1,8,7,125.0,0.8885233166386386,0,-315.38000000000005,1,1,0,-4.26,1,1,0,-4.647350382507719
Mixed Imperial,2023-03-26,Hooves,Deep Space,15,13,214.17926913507503,1.0,0,290.1299999999999,2,1,0,2.66,2,1,0,2.7814464491801836
Mixed Imperial,2023-03-26,Hooves,Lemmings 1,15,10,453.6039151898044,1.0,0,415.8399999999999,5,1,0,4.6,5,1,0,4.922201987835109
Mixed Imperial,2023-03-26,Mixed Feelings,Curve,15,3,600.0,1.0,0,482.2900000000001,12,1,0,6.58,12,1,0,7.6912106001273415
Mixed Imperial,2023-03-26,Oxford Ultimate,Mixed Feelings,15,9,515.4814780292847,1.0,0,258.48,6,1,0,3.76,6,1,0,4.031722852271791
Mixed Imperial,2023-03-26,Plymouth Ultimate,Brixton,8,7,125.0,0.8885233166386386,0,-145.62,1,1,0,-2.25,1,1,0,-2.2068669579012052
Mixed Imperial,2023-03-26,Plymouth Ultimate,Sharkbear!,10,3,600.0,0.8583950752789521,0,527.6399999999999,7,1,0,4.78,7,1,0,5.578806781441678
Mixed Imperial,2023-03-26,Plymouth Ultimate,Zoo 1,8,4,564.8086448756737,0.7947194142390263,0,-213.89000000000004,4,1,0,-3.8999999999999995,4,1,0,-3.8837936475912027
Mixed Imperial,2023-03-26,Purple Cobras,Curve,15,10,453.6039151898044,1.0,0,522.57,5,1,0,6.8100000000000005,5,1,0,7.607412331574842
Mixed Imperial,2023-03-26,Reading 1,Lemmings 1,12,7,520.5112660164395,1.0,0,161.75,5,1,0,1.42,5,1,0,1.5403015467264929
Mixed Imperial,2023-03-26,Thundering Herd 1,Oxford Ultimate,13,12,125.0,1.0,0,-2.6599999999999966,1,1,0,-0.23999999999999977,1,1,0,0.20323756184409447
Mixed Imperial,2023-03-26,Thundering Herd 1,Purple Cobras,13,7,557.5316737222639,1.0,0,215.54,6,1,0,3.29,6,1,0,4.323658805711556
Mixed Imperial,2023-03-26,Zoo 1,Sharkbear!,7,3,600.0,0.7254762501100116,0,741.53,4,1,0,8.68,4,1,0,8.63141670057485
Grey Towers,2023-06-17,Contested 1st,Black Sheep Mixed,12,5,600.0,0.9459053029269173,0,599.7,7,1,0,7.81,7,1,0,8.446899642177794
Grey Towers,2023-06-17,Contested 1st,Glasgow Mixed 2,11,6,546.6949863040446,0.9459053029269173,0,506.72,5,1,0,5.9399999999999995,5,1,0,6.941780627945615
Grey Towers,2023-06-17,Contested 1st,LLLeeds 1,9,8,125.0,0.9459053029269173,0,78.48,1,1,0,-0.6300000000000001,1,1,0,0.2939623581041939
Grey Towers,2023-06-17,Glasgow Mixed,Mamak Ult,15,3,600.0,1.0,1,1070.09,12,1,0,13.44,12,1,0,12.577944987318226
Grey Towers,2023-06-17,Glasgow Mixed,Newcastle Brown,14,4,600.0,1.0,0,413.04,10,1,0,6.95,10,1,0,8.094625996140248
Grey Towers,2023-06-17,Glasgow Mixed,Sheffield Steal,13,8,496.1596377856195,1.0,0,984.44,5,1,0,12.58,5,1,0,12.425222508123905
Grey Towers,2023-06-17,Glasgow Mixed 2,Black Sheep Mixed,9,6,418.5661446562001,0.8885233166386386,0,92.98000000000002,3,1,0,1.87,3,1,0,2.0356137474402516
Grey Towers,2023-06-17,LLLeeds 1,Black Sheep Mixed,13,4,600.0,1.0,0,521.22,9,1,0,8.44,9,1,0,8.243916062240903
Grey Towers,2023-06-17,LLLeeds 1,Glasgow Mixed 2,11,3,600.0,0.9176629354822471,0,428.24,8,1,0,6.57,8,1,0,6.708662023963203
Grey Towers,2023-06-17,Mamak Ult,Sheffield Steal,9,8,125.0,0.9459053029269173,0,-85.64999999999998,1,1,0,-0.8599999999999994,1,1,0,-0.5000646193714893
Grey Towers,2023-06-17,Nemesis,Black Sheep Mixed,12,5,600.0,0.9459053029269173,0,458.23,7,1,0,6.37,7,1,0,7.2416674021821095
Grey Towers,2023-06-17,Nemesis,Contested 1st,9,8,125.0,0.9459053029269173,0,-141.47,1,1,0,-1.44,1,1,0,-1.6552319749409712
Grey Towers,2023-06-17,Nemesis,Glasgow Mixed 2,10,6,496.1596377856195,0.9176629354822471,0,365.25,4,1,0,4.5,4,1,0,5.57104997482767
Grey Towers,2023-06-17,Nemesis,LLLeeds 1,11,10,125.0,1.0,0,-62.99,1,1,0,-2.0700000000000003,1,1,0,-1.3642198234188285
Grey Towers,2023-06-17,Newcastle Brown,Mamak Ult,13,9,418.5661446562001,1.0,0,657.05,4,1,0,6.489999999999999,4,1,0,8.188794275100598
Grey Towers,2023-06-17,Newcastle Brown,Sheffield Steal,14,8,536.0348119187572,1.0,0,571.4,6,1,0,5.63,6,1,0,7.831255948553018
Mooxed,2023-06-17,BN1,Mixed Feelings,15,6,600.0,1.0,0,241.98,9,1,0,3.1599999999999997,9,1,0,3.9215520660178065
Mooxed,2023-06-17,Bristol Mixed,Curve,15,4,600.0,1.0,0,314.85,11,1,0,3.93,11,1,0,4.488126808127138
Mooxed,2023-06-17,Bristol Mixed,Guildford,14,4,600.0,1.0,0,394.61,10,1,0,4.699999999999999,10,1,0,5.165654609453394
Mooxed,2023-06-17,Brixton Mixed,Bristol Mixed,12,5,600.0,0.9459053029269173,0,-382.17999999999995,7,1,0,-4.969999999999999,7,1,0,-5.421061417521212
Mooxed,2023-06-17,Flyght Mixed,Birmingham Ultimate,14,8,536.0348119187572,1.0,0,274.40000000000003,6,1,0,3.0,6,1,0,4.481980279417396
Mooxed,2023-06-17,GB Mixed Masters,Purple Cobras,15,2,600.0,1.0,0,479.83,13,1,0,7.33,13,1,0,7.945736715715192
Mooxed,2023-06-17,GB Mixed Masters,Reading 2,14,8,536.0348119187572,1.0,0,337.99,6,1,0,5.2700000000000005,6,1,0,5.6838259177353585
Mooxed,2023-06-17,Lemmings 1,BN1,14,8,536.0348119187572,1.0,0,498.7,6,1,0,5.720000000000001,6,1,0,6.727248489310394
Mooxed,2023-06-17,Lemmings 1,South Wales Storm Mixed,15,3,600.0,1.0,1,1595.47,12,1,0,17.32,12,1,0,13.603020608855395
Mooxed,2023-06-17,Lemmings 1,Thundering Herd 1,15,9,515.4814780292847,1.0,0,484.86,6,1,0,5.36,6,1,0,6.467757892263098
Mooxed,2023-06-17,Lemmings 2,Flyght Mixed,15,10,453.6039151898044,1.0,0,614.23,5,1,0,8.129999999999999,5,1,0,8.477067250522694
Mooxed,2023-06-17,Lemmings 2,GB Mixed Masters,12,11,125.0,1.0,0,-36.539999999999964,1,1,0,-1.0300000000000002,1,1,0,-0.8765003602595431
Mooxed,2023-06-17,Lemmings 2,Reading 2,15,14,125.0,1.0,0,301.45000000000005,1,1,0,4.24,1,1,0,4.916177940866721
Mooxed,2023-06-17,Mixed Feelings,Thundering Herd 2,15,5,600.0,1.0,1,729.46,10,1,0,8.7,10,1,0,9.104930116035213
Mooxed,2023-06-17,Norwich Ultimate,Curve,10,4,600.0,0.8583950752789521,0,116.71000000000004,6,1,0,1.3800000000000008,6,1,0,1.936138812063497
Mooxed,2023-06-17,Norwich Ultimate,South Wales Storm Mixed,11,7,466.89332573293274,0.9733285267845752,0,489.21000000000004,4,1,0,3.24,4,1,0,4.676485236234409
Mooxed,2023-06-17,Norwich Ultimate,Thundering Herd 2,14,8,536.0348119187572,1.0,0,363.88,6,1,0,3.5,6,1,0,3.919455769532231
Mooxed,2023-06-17,Oxford Ultimate Mixed,BN1,12,6,579.3107485100336,0.9733285267845752,0,125.90000000000003,6,1,0,1.29,6,1,0,1.4058617057719403
Mooxed,2023-06-17,Oxford Ultimate Mixed,Mixed Feelings,12,9,345.3654772346762,1.0,0,367.88,3,1,0,4.45,3,1,0,5.19999855666941
Mooxed,2023-06-17,Purple Cobras,Birmingham Ultimate,13,5,600.0,1.0,0,445.34000000000003,8,1,0,4.83,8,1,0,5.919800885706177
Mooxed,2023-06-17,Purple Cobras,Flyght Mixed,11,4,600.0,0.9176629354822471,0,170.94,7,1,0,1.83,7,1,0,1.6300377828193362
Mooxed,2023-06-17,Reading 2,Brixton Mixed,15,7,600.0,1.0,0,731.74,8,1,0,9.91,8,1,0,10.123598363536665
Mooxed,2023-06-17,Thundering Herd 1,Oxford Ultimate Mixed,10,9,125.0,1.0,0,-112.06000000000003,1,1,0,-0.9299999999999997,1,1,0,-1.0863446758389976
Mooxed,2023-06-17,Thundering Herd 1,South Wales Storm Mixed,15,2,600.0,1.0,1,1110.6100000000001,13,1,0,11.96,13,1,0,11.716875948753014
Mooxed,2023-06-17,Thundering Herd 2,Curve,15,9,515.4814780292847,1.0,0,-247.16999999999996,6,1,0,-2.119999999999999,6,1,0,-2.0525434124153783
Mooxed,2023-06-17,Zoo 1,Birmingham Ultimate,11,9,249.2068104043629,1.0,0,158.39000000000004,2,1,0,1.5099999999999998,2,1,0,1.9147471913028546
Mooxed,2023-06-17,Zoo 1,Brixton Mixed,15,6,600.0,1.0,0,302.95,9,1,0,4.529999999999999,9,1,0,4.909482471072192
Mooxed,2023-06-17,Zoo 1,Guildford,15,5,600.0,1.0,0,315.38000000000005,10,1,0,4.26,10,1,0,4.647350382507721
Grey Towers,2023-06-18,Black Sheep Mixed,Mamak Ult,12,5,600.0,0.9459053029269173,0,123.82999999999993,7,1,0,0.6399999999999997,7,1,0,1.1899940357625738
Grey Towers,2023-06-18,Black Sheep Mixed,Sheffield Steal,13,10,328.14240231865136,1.0,0,38.17999999999995,3,1,0,-0.21999999999999975,3,1,0,0.6917589617835809
Grey Towers,2023-06-18,Contested 1st,Nemesis,15,8,564.8086448756737,1.0,0,141.47,7,1,0,1.44,7,1,0,1.6552319749409712
Grey Towers,2023-06-18,Glasgow Mixed,Contested 1st,15,7,600.0,1.0,0,346.56,8,1,0,4.99,8,1,0,6.923496986971482
Grey Towers,2023-06-18,Glasgow Mixed,Newcastle Brown,15,2,600.0,1.0,0,413.04,13,1,0,6.95,13,1,0,8.094625996140248
Grey Towers,2023-06-18,Glasgow Mixed 2,Mamak Ult,11,9,249.2068104043629,1.0,0,216.80999999999995,2,1,0,2.51,2,1,0,3.19125052168625
Grey Towers,2023-06-18,Glasgow Mixed 2,Sheffield Steal,10,9,125.0,1.0,0,131.15999999999997,1,1,0,1.6500000000000004,1,1,0,2.7104097118030808
Grey Towers,2023-06-18,LLLeeds 1,Mamak Ult,15,6,600.0,1.0,0,645.05,9,1,0,9.08,9,1,0,9.039767749045662
Grey Towers,2023-06-18,LLLeeds 1,Sheffield Steal,15,4,600.0,1.0,0,559.4,11,1,0,8.22,11,1,0,8.714791740119775
Grey Towers,2023-06-18,Newcastle Brown,Nemesis,12,10,238.1225775586291,1.0,0,74.99000000000001,2,1,0,-0.52,2,1,0,0.09674865834170099
Mooxed,2023-06-18,BN1,Purple Cobras,11,6,546.6949863040446,0.9459053029269173,0,201.7,5,1,0,2.9299999999999997,5,1,0,4.026851672635292
Mooxed,2023-06-18,BN1,Zoo 1,12,9,345.3654772346762,1.0,0,488.65,3,1,0,6.25,3,1,0,7.665751010520342
Mooxed,2023-06-18,Birmingham Ultimate,South Wales Storm Mixed,10,4,600.0,0.8583950752789521,0,449.73,6,1,0,3.84,6,1,0,4.835688148102964
