Team,Tournament
LMU,Spring Invite
Dublin Gravity,Spring Invite
Bristol,Spring Invite
Spice Ultimate,Spring Invite
SY-See,Spring Invite
Iceni,Spring Invite
Reading 1,Spring Invite
SCRAM,Spring Invite
SMOG Women,Spring Invite
Horizon,Spring Invite
SY-Sea,Spring Invite
Brighton Ultimate,Spring Invite
Brixton,Spring Invite
Oxford Ultimate,Spring Invite
GB U20 Women Red,Spring Invite
Chameleons,Spring Invite
GB U20 Women Blue,Spring Invite
GB Women,Windfarm
GB Womens Masters,Windfarm
Bristol Women,Windfarm
Spice,Windfarm
SMOG Women,Windfarm
Ice Age,Windfarm
GB U24 Women,Windfarm
SYC,Windfarm
Ireland U24 Women,Windfarm
Lemmings 1,Windfarm
Horizon,Windfarm
GB U20 Women,Windfarm
Guildford Ultimate Women,Windfarm
Brighton Ultimate Women,Windfarm
Flyght Women,Windfarm
Chameleons,Windfarm
Yorkshire Women,Windfarm
Bristol,August Edition
Spice,August Edition
Iceni,August Edition
SYC,August Edition
Brixton,August Edition
Brighton,August Edition
Mint,August Edition
LMU,Nationals
Gravity,Nationals
Bristol,Nationals
SYC,Nationals
Iceni,Nationals
Spice,Nationals
SCRAM,Nationals
Flame,Nationals
Horizon,Nationals
Chameleons,Nationals
