Team,Aliases
GB U20,"GB U20 Women"
Brixton,
Chameleons,
Kestrels,
Bristol Women,
Itheni,
GB Masters Women,
SYC,
SMOG Women,
Masterclass,
Lemmings,
Spice,
Horizon,
FRed,
Newcastle Brown,
Sheffield Steal,
Eclipse,
