Team,Aliases
Deep Space,
GB Mixed,"GB Mixed Blue,GB Mixed Red"
Lemmings 1,"Lemmings,Leamington Lemmings"
BN1,
Thundering Herd 1,"Thundering Herd"
Oxford Ultimate,
Lemmings 2,
Reading,"Reading Ultimate"
Flyght Mixed,
Zoo 1,"Zoo"
Cambridge Ultimate,
Bristol Mixed,
LLLeeds Mixed 1,"LLLeeds,LLLeeds Mixed"
Sheffield Steal,"Sheffield Steal Mixed"
Contested 1st,"Contested 1"
Curve,
Black Sheep,"Black Sheep's Back,Black Sheep's Front"
Bermondsey Bombers,
Brixton,
Mamak,"Mamak Ultimate"
Muntjacs Ultimate,
Heck,
SOLENT,"SOLENT Blue,SOLENT White,SOLENT Mixed"
Big Fish Little Fish,
Newcastle Brown,
Thundering Herd 2,
Flyght Mixed 2,
Tribe,
Rebel Ultimate,
GUXYZ,"GUX"
Red,
Splash'D,
Birmingham Ultimate,
Black Sheep Ultimate,"Black Sheep's Back,Black Sheep's Front"
Glasgow Mixed,
Brum-ish,
