Year,Calendar_Week,Date_Start,Date_End,N_Tournaments,N_Teams_EUF,N_Teams_All,N_Games,N_Tournaments_Cum,N_Teams_EUF_Cum,N_Teams_All_Cum,N_Games_Cum,N_Components,N_Components_All,Max_Component_Size
2025,12,2025-03-17,2025-03-23,1,17,17,52,1,17,17,52,1,20,17
2025,13,2025-03-24,2025-03-30,0,0,0,0,1,17,17,52,1,20,17
2025,14,2025-03-31,2025-04-06,0,0,0,0,1,17,17,52,1,20,17
2025,15,2025-04-07,2025-04-13,0,0,0,0,1,17,17,52,1,20,17
2025,16,2025-04-14,2025-04-20,0,0,0,0,1,17,17,52,1,20,17
2025,17,2025-04-21,2025-04-27,0,0,0,0,1,17,17,52,1,20,17
2025,18,2025-04-28,2025-05-04,0,0,0,0,1,17,17,52,1,20,17
2025,19,2025-05-05,2025-05-11,0,0,0,0,1,17,17,52,1,20,17
2025,20,2025-05-12,2025-05-18,0,0,0,0,1,17,17,52,1,20,17
2025,21,2025-05-19,2025-05-25,1,30,30,91,2,33,33,143,1,4,33
2025,22,2025-05-26,2025-06-01,0,0,0,0,2,33,33,143,1,4,33
2025,23,2025-06-02,2025-06-08,0,0,0,0,2,33,33,143,1,4,33
2025,24,2025-06-09,2025-06-15,0,0,0,0,2,33,33,143,1,4,33
2025,25,2025-06-16,2025-06-22,0,0,0,0,2,33,33,143,1,4,33
2025,26,2025-06-23,2025-06-29,2,17,17,47,4,36,36,190,1,1,36
