Tournament,Date_First,Date_Last,N_Teams_EUF,N_Teams_All,N_Games
Uni Fans 2025,2025-04-05,2025-04-06,21,21,60
Reading X 2025,2025-05-10,2025-05-11,24,24,68
Manchester 2025,2025-06-07,2025-06-08,12,12,36
Moooxed 2025,2025-06-07,2025-06-08,13,13,41
