Tournament,Date,Team_1,Team_2,Score_1,Score_2
Leicester Open 2025,2025-03-22,Brighton Open,Manchester Bees,15,10
Leicester Open 2025,2025-03-22,Brighton Open,Manchester Ultimate,15,6
Leicester Open 2025,2025-03-22,Cambridge Ultimate Open 1,DED,15,12
Leicester Open 2025,2025-03-22,Cambridge Ultimate Open 1,LLLeeds Open 1,12,11
Leicester Open 2025,2025-03-22,DED,Newcastle Brown,15,10
Leicester Open 2025,2025-03-22,Fire of London,Brighton Open,13,10
Leicester Open 2025,2025-03-22,Fire of London,Flyght Open 1,15,8
Leicester Open 2025,2025-03-22,Fire of London,Manchester Bees,15,5
Leicester Open 2025,2025-03-22,Flyght Open 1,Birmingham Ultimate,15,3
Leicester Open 2025,2025-03-22,GB U20 Open,SMASH'D 1,13,9
Leicester Open 2025,2025-03-22,GB U20 Open,SOLENT White,13,12
Leicester Open 2025,2025-03-22,Ka-Pow!,Lemmings Open 1,15,10
Leicester Open 2025,2025-03-22,Ka-Pow!,SMASH'D 1,13,8
Leicester Open 2025,2025-03-22,Ka-Pow!,SOLENT White,15,6
Leicester Open 2025,2025-03-22,Lemmings Open 1,SMASH'D 1,14,11
Leicester Open 2025,2025-03-22,Lemmings Open 1,SOLENT White,15,3
Leicester Open 2025,2025-03-22,Loughborough 1,DED,13,11
Leicester Open 2025,2025-03-22,Loughborough 1,LLLeeds Open 1,13,12
Leicester Open 2025,2025-03-22,Loughborough 1,Newcastle Brown,13,9
Leicester Open 2025,2025-03-22,Manchester Ultimate,Birmingham Ultimate,15,6
Leicester Open 2025,2025-03-22,Manchester Ultimate,Flyght Open 1,12,10
Leicester Open 2025,2025-03-22,SMASH'D 1,SOLENT White,15,11
Leicester Open 2025,2025-03-22,SMOG Open,GB U20 Open,13,8
Leicester Open 2025,2025-03-22,SMOG Open,SMASH'D 1,14,4
Leicester Open 2025,2025-03-22,SMOG Open,SOLENT White,15,8
Leicester Open 2025,2025-03-22,SOLENT White,SMASH'D 1,12,10
Leicester Open 2025,2025-03-23,Brighton Open,Fire of London,11,10
Leicester Open 2025,2025-03-23,Cambridge Ultimate Open 1,Fire of London,13,7
Leicester Open 2025,2025-03-23,DED,Flyght Open 1,15,6
Leicester Open 2025,2025-03-23,DED,Manchester Bees,15,6
Leicester Open 2025,2025-03-23,Flyght Open 1,Newcastle Brown,10,6
Leicester Open 2025,2025-03-23,Ka-Pow!,GB U20 Open,14,8
Leicester Open 2025,2025-03-23,LLLeeds Open 1,Birmingham Ultimate,15,0
Leicester Open 2025,2025-03-23,LLLeeds Open 1,DED,12,11
Leicester Open 2025,2025-03-23,LLLeeds Open 1,Newcastle Brown,15,5
Leicester Open 2025,2025-03-23,Lemmings Open 1,GB U20 Open,11,10
Leicester Open 2025,2025-03-23,Loughborough 1,SMASH'D 1,12,9
Leicester Open 2025,2025-03-23,Loughborough 1,SOLENT White,12,9
Leicester Open 2025,2025-03-23,Manchester Bees,Birmingham Ultimate,15,9
Leicester Open 2025,2025-03-23,Manchester Ultimate,Birmingham Ultimate,15,2
Leicester Open 2025,2025-03-23,Manchester Ultimate,Manchester Bees,12,7
Leicester Open 2025,2025-03-23,Newcastle Brown,Manchester Ultimate,7,6
Leicester Open 2025,2025-03-23,SMASH'D 1,Cambridge Ultimate Open 1,12,10
Leicester Open 2025,2025-03-23,SMASH'D 1,Fire of London,9,8
