Tournament,Date,Team_1,Team_2,Score_1,Score_2
Leicester Open 2025,2025-03-23,SMASH'D 1,SMASH'D 1,11,10
Leicester Open 2025,2025-03-23,SMOG Open,Ka-Pow!,14,8
Leicester Open 2025,2025-03-23,SMOG Open,Lemmings Open 1,13,6
Leicester Open 2025,2025-03-23,SOLENT White,Brighton Open,14,7
Leicester Open 2025,2025-03-23,SOLENT White,Brighton Open,13,12
Leicester Open 2025,2025-03-23,SOLENT White,Cambridge Ultimate Open 1,13,12
Leicester Open 2025,2025-03-23,SOLENT White,Loughborough 1,14,8
Leicester Open 2025,2025-03-23,SOLENT White,SMASH'D 1,11,8
Windfarm 2025,2025-05-24,Alba,Ka-Pow!,9,7
Windfarm 2025,2025-05-24,Alba,SOLENT Open,10,8
Windfarm 2025,2025-05-24,Brighton Open,LLLeeds Open 1,15,9
Windfarm 2025,2025-05-24,Brighton Open,Manchester Bees,15,5
Windfarm 2025,2025-05-24,Brighton Open,Newcastle Brown,15,12
Windfarm 2025,2025-05-24,Bristol Open,Alba,15,10
Windfarm 2025,2025-05-24,Bristol Open,Tribe Open,15,2
Windfarm 2025,2025-05-24,Brizzle,Flyght Open 1,11,9
Windfarm 2025,2025-05-24,Brizzle,LLLeeds 2,11,4
Windfarm 2025,2025-05-24,Brizzle,SOLENT White,9,4
Windfarm 2025,2025-05-24,Cambridge Ultimate Open 1,Birmingham Ultimate,12,3
Windfarm 2025,2025-05-24,Cambridge Ultimate Open 1,DED,8,5
Windfarm 2025,2025-05-24,Cambridge Ultimate Open 1,Lemmings 2,13,8
Windfarm 2025,2025-05-24,Cambridge Ultimate Open 1,Thundering Him,13,2
Windfarm 2025,2025-05-24,DED,Birmingham Ultimate,12,2
Windfarm 2025,2025-05-24,DED,Lemmings 2,10,8
Windfarm 2025,2025-05-24,DED,Thundering Him,10,7
Windfarm 2025,2025-05-24,Fire of London,Brixton Open,11,4
Windfarm 2025,2025-05-24,Fire of London,Manchester Ultimate,10,7
Windfarm 2025,2025-05-24,Fire of London,Out of Hibearnation,10,6
Windfarm 2025,2025-05-24,Flyght Open 1,LLLeeds 2,10,6
Windfarm 2025,2025-05-24,Flyght Open 1,SOLENT White,8,7
Windfarm 2025,2025-05-24,GB Open Masters,Bristol Open,10,7
Windfarm 2025,2025-05-24,GB Open Masters,Ka-Pow!,13,11
Windfarm 2025,2025-05-24,GB Open Masters,Tribe Open,15,6
Windfarm 2025,2025-05-24,GB U24 Open,Ireland U24 Men,13,4
Windfarm 2025,2025-05-24,GB U24 Open,Lemmings Open 1,14,8
Windfarm 2025,2025-05-24,Ireland U24 Men,GB U20 Open,9,8
Windfarm 2025,2025-05-24,Ka-Pow!,SOLENT Open,12,11
Windfarm 2025,2025-05-24,LLLeeds Open 1,Manchester Bees,15,3
Windfarm 2025,2025-05-24,LLLeeds Open 1,Newcastle Brown,15,9
Windfarm 2025,2025-05-24,Lemmings 2,Birmingham Ultimate,13,3
Windfarm 2025,2025-05-24,Lemmings 2,Thundering Him,10,6
Windfarm 2025,2025-05-24,Lemmings Open 1,GB U20 Open,12,11
Windfarm 2025,2025-05-24,Lemmings Open 1,SMASH'D,14,5
Windfarm 2025,2025-05-24,Manchester Ultimate,Brixton Open,14,6
Windfarm 2025,2025-05-24,Manchester Ultimate,Out of Hibearnation,13,8
Windfarm 2025,2025-05-24,Newcastle Brown,Manchester Bees,15,1
Windfarm 2025,2025-05-24,Out of Hibearnation,Brixton Open,15,6
Windfarm 2025,2025-05-24,PELT Ultimate,GB U24 Open,11,9
Windfarm 2025,2025-05-24,PELT Ultimate,Ireland U24 Men,12,7
Windfarm 2025,2025-05-24,PELT Ultimate,SMASH'D,15,6
Windfarm 2025,2025-05-24,SMASH'D,GB U20 Open,10,9
Windfarm 2025,2025-05-24,SOLENT Open,Tribe Open,12,5
Windfarm 2025,2025-05-24,SOLENT White,LLLeeds 2,10,6
Windfarm 2025,2025-05-24,Sheffield Steal,Brizzle,13,7
Windfarm 2025,2025-05-24,Sheffield Steal,Flyght Open 1,9,5
Windfarm 2025,2025-05-24,Sheffield Steal,LLLeeds 2,13,1
Windfarm 2025,2025-05-24,Sheffield Steal,SOLENT White,10,5
Windfarm 2025,2025-05-24,Thundering Him,Birmingham Ultimate,9,4
Windfarm 2025,2025-05-25,Alba,Lemmings Open 1,15,8
Windfarm 2025,2025-05-25,Alba,SMASH'D,14,11
Windfarm 2025,2025-05-25,Brighton Open,Tribe Open,12,10
Windfarm 2025,2025-05-25,Bristol Open,PELT Ultimate,15,9
Windfarm 2025,2025-05-25,Brixton Open,Birmingham Ultimate,10,7
Windfarm 2025,2025-05-25,Brixton Open,LLLeeds 2,11,9
Windfarm 2025,2025-05-25,Brizzle,Manchester Ultimate,13,8
Windfarm 2025,2025-05-25,Cambridge Ultimate Open 1,GB U20 Open,13,5
Windfarm 2025,2025-05-25,Cambridge Ultimate Open 1,Sheffield Steal,13,12
Windfarm 2025,2025-05-25,DED,Flyght Open 1,11,8
Windfarm 2025,2025-05-25,DED,Newcastle Brown,15,6
Windfarm 2025,2025-05-25,DED,Out of Hibearnation,10,7
Windfarm 2025,2025-05-25,Fire of London,Tribe Open,14,7
Windfarm 2025,2025-05-25,Flyght Open 1,LLLeeds Open 1,9,6
Windfarm 2025,2025-05-25,GB Open Masters,Bristol Open,14,12
Windfarm 2025,2025-05-25,GB Open Masters,GB U24 Open,15,12
Windfarm 2025,2025-05-25,GB U20 Open,Brighton Open,7,6
Windfarm 2025,2025-05-25,GB U20 Open,Fire of London,11,8
Windfarm 2025,2025-05-25,GB U24 Open,PELT Ultimate,15,10
Windfarm 2025,2025-05-25,Ireland U24 Men,Fire of London,13,10
Windfarm 2025,2025-05-25,Ireland U24 Men,Sheffield Steal,13,12
Windfarm 2025,2025-05-25,Ka-Pow!,SMASH'D,15,2
Windfarm 2025,2025-05-25,LLLeeds 2,Thundering Him,11,9
Windfarm 2025,2025-05-25,LLLeeds Open 1,Manchester Ultimate,15,7
Windfarm 2025,2025-05-25,Lemmings 2,Flyght Open 1,11,10
Windfarm 2025,2025-05-25,Lemmings 2,Manchester Ultimate,10,7
Windfarm 2025,2025-05-25,Lemmings Open 1,Ka-Pow!,12,11
Windfarm 2025,2025-05-25,Manchester Bees,LLLeeds 2,9,6
Windfarm 2025,2025-05-25,Newcastle Brown,Brizzle,12,11
Windfarm 2025,2025-05-25,Newcastle Brown,Lemmings 2,11,6
Windfarm 2025,2025-05-25,Out of Hibearnation,Brizzle,14,11
Windfarm 2025,2025-05-25,Out of Hibearnation,LLLeeds Open 1,15,8
Windfarm 2025,2025-05-25,SOLENT Open,Brighton Open,11,8
Windfarm 2025,2025-05-25,SOLENT Open,Cambridge Ultimate Open 1,15,7
Windfarm 2025,2025-05-25,SOLENT Open,Ireland U24 Men,11,8
Windfarm 2025,2025-05-25,SOLENT White,Birmingham Ultimate,8,4
Windfarm 2025,2025-05-25,SOLENT White,Brixton Open,7,5
Windfarm 2025,2025-05-25,SOLENT White,Manchester Bees,10,6
Windfarm 2025,2025-05-25,Sheffield Steal,Tribe Open,10,9
Windfarm 2025,2025-05-25,Thundering Him,Birmingham Ultimate,15,4
Windfarm 2025,2025-05-25,Thundering Him,Manchester Bees,11,10
Durham 2025,2025-06-28,LLLeeds Open 1,Durham 1,15,7
Durham 2025,2025-06-28,LLLeeds Open 1,Manchester Ultimate,15,7
Durham 2025,2025-06-28,Newcastle Brown,Durham 1,15,8
Durham 2025,2025-06-28,Newcastle Brown,Manchester Ultimate,15,3
Durham 2025,2025-06-28,SMOG Open,Durham 1,15,1
Durham 2025,2025-06-28,SMOG Open,LLLeeds Open 1,15,4
Durham 2025,2025-06-28,SMOG Open,Manchester Ultimate,15,4
Durham 2025,2025-06-28,SMOG Open,Newcastle Brown,15,8
Southampton 2025,2025-06-28,Cambridge Ultimate Open 1,Brighton Open,15,7
Southampton 2025,2025-06-28,Cambridge Ultimate Open 1,DED,14,11
Southampton 2025,2025-06-28,DED,SOLENT White,12,7
Southampton 2025,2025-06-28,Fire of London,Brizzle,15,11
Southampton 2025,2025-06-28,Fire of London,Genesis,15,14
Southampton 2025,2025-06-28,Ka-Pow!,Brighton Open,15,9
Southampton 2025,2025-06-28,Ka-Pow!,SOLENT White,15,5
Southampton 2025,2025-06-28,Lemmings Open 1,Fire of London,14,9
Southampton 2025,2025-06-28,Lemmings Open 1,Genesis,15,8
Southampton 2025,2025-06-28,Malmo Ultimate Club,Brizzle,15,1
Southampton 2025,2025-06-28,Malmo Ultimate Club,Genesis,15,8
Southampton 2025,2025-06-28,SMASH'D,Brizzle,15,3
Southampton 2025,2025-06-28,SMASH'D,Lemmings Open 1,11,8
Southampton 2025,2025-06-28,SMASH'D,Malmo Ultimate Club,13,11
Southampton 2025,2025-06-28,SOLENT Open,Cambridge Ultimate Open 1,15,9
Southampton 2025,2025-06-28,SOLENT Open,DED,15,11
Southampton 2025,2025-06-28,SOLENT Open,Ka-Pow!,10,7
Southampton 2025,2025-06-28,SOLENT White,Brighton Open,9,8
Durham 2025,2025-06-29,Durham 1,Manchester Ultimate,13,11
Durham 2025,2025-06-29,LLLeeds Open 1,Durham 1,15,3
Durham 2025,2025-06-29,Manchester Ultimate,Durham 1,12,9
Durham 2025,2025-06-29,Newcastle Brown,LLLeeds Open 1,15,10
Durham 2025,2025-06-29,Newcastle Brown,SMOG Open,14,12
Southampton 2025,2025-06-29,Brighton Open,Brizzle,13,9
Southampton 2025,2025-06-29,Brighton Open,SOLENT White,10,6
Southampton 2025,2025-06-29,Cambridge Ultimate Open 1,Fire of London,13,12
Southampton 2025,2025-06-29,Fire of London,DED,13,12
Southampton 2025,2025-06-29,Genesis,Brizzle,15,12
Southampton 2025,2025-06-29,Ka-Pow!,Cambridge Ultimate Open 1,15,9
Southampton 2025,2025-06-29,Ka-Pow!,DED,15,8
Southampton 2025,2025-06-29,Lemmings Open 1,Cambridge Ultimate Open 1,14,9
Southampton 2025,2025-06-29,Lemmings Open 1,SOLENT Open,11,10
Southampton 2025,2025-06-29,Malmo Ultimate Club,Ka-Pow!,15,10
Southampton 2025,2025-06-29,Malmo Ultimate Club,SOLENT Open,12,11
Southampton 2025,2025-06-29,SMASH'D,DED,14,7
Southampton 2025,2025-06-29,SMASH'D,Lemmings Open 1,13,8
Southampton 2025,2025-06-29,SMASH'D,Malmo Ultimate Club,14,12
Southampton 2025,2025-06-29,SOLENT Open,Fire of London,15,10
Southampton 2025,2025-06-29,SOLENT White,Genesis,13,11
