Year,Calendar_Week,Date_Start,Date_End,N_Tournaments,N_Teams_EUF,N_Teams_All,N_Games,N_Tournaments_Cum,N_Teams_EUF_Cum,N_Teams_All_Cum,N_Games_Cum,N_Components,N_Components_All,Max_Component_Size
2025,12,2025-03-17,2025-03-23,1,5,5,10,1,5,5,10,1,14,5
2025,13,2025-03-24,2025-03-30,0,0,0,0,1,5,5,10,1,14,5
2025,14,2025-03-31,2025-04-06,0,0,0,0,1,5,5,10,1,14,5
2025,15,2025-04-07,2025-04-13,0,0,0,0,1,5,5,10,1,14,5
2025,16,2025-04-14,2025-04-20,0,0,0,0,1,5,5,10,1,14,5
2025,17,2025-04-21,2025-04-27,0,0,0,0,1,5,5,10,1,14,5
2025,18,2025-04-28,2025-05-04,0,0,0,0,1,5,5,10,1,14,5
2025,19,2025-05-05,2025-05-11,0,0,0,0,1,5,5,10,1,14,5
2025,20,2025-05-12,2025-05-18,0,0,0,0,1,5,5,10,1,14,5
2025,21,2025-05-19,2025-05-25,1,17,17,50,2,18,18,60,1,1,18
