Team,Tournaments,Games,Wins,Losses,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
Tim Tam Slam,1,5,5,0,1.0,0.5266666666666666,69,39,6.0,1.0,10,1
Newcastle Brown 1,1,6,6,0,1.0,0.5112865497076023,89,37,8.666666666666666,1.0,24,1
Yipee,1,7,6,1,0.8571428571428571,0.5581065759637188,75,59,2.2857142857142856,1.0,32,1
Heck,1,6,5,1,0.8333333333333334,0.5701754385964912,78,52,4.333333333333333,1.0,21,1
Thundering Herd Masters,1,6,5,1,0.8333333333333334,0.4444401818698494,72,48,4.0,1.0,29,1
Lemmings 1,3,18,15,3,0.8333333333333334,0.578170861700049,229,111,6.555555555555555,1.0,43,1
GB Mixed Masters,1,5,4,1,0.8,0.6240798073615411,60,28,6.4,1.0,32,1
Deep Space Club,1,5,4,1,0.8,0.6777777777777778,57,38,3.8,1.0,23,1
Thundering Herd 1,3,17,13,4,0.7647058823529411,0.5097493674394215,208,122,5.0588235294117645,1.0,37,1
Purple Cobras,3,19,14,5,0.7368421052631579,0.46440762838269767,220,153,3.526315789473684,1.0,42,1
Oxford Ultimate,3,18,13,5,0.7222222222222222,0.48906784068761905,202,141,3.388888888888889,1.0,39,1
GUX,1,7,5,2,0.7142857142857143,0.6157883153261304,76,50,3.7142857142857144,1.0,33,1
Mamak Ultimate,1,6,4,2,0.6666666666666666,0.5092592592592592,69,59,1.6666666666666667,1.0,19,1
SOLENT Mixed,4,25,16,9,0.64,0.5429328605138001,267,214,2.12,1.0,38,1
GB U24 Mixed,1,5,3,2,0.6,0.7177777777777778,53,44,1.8,1.0,23,1
Zoo,1,5,3,2,0.6,0.45838802889576885,44,47,-0.6,1.0,28,1
Bristol Mixed,3,17,10,7,0.5882352941176471,0.5662227644232188,193,163,1.7647058823529411,1.0,39,1
Curve Vector,2,12,7,5,0.5833333333333334,0.5932601346881533,141,119,1.8333333333333333,1.0,33,1
Newcastle Brown,3,18,10,8,0.5555555555555556,0.5996325487759956,185,189,-0.2222222222222222,1.0,40,1
Reading 2,4,23,12,11,0.5217391304347826,0.5316362821605789,225,243,-0.782608695652174,1.0,41,1
Midlands Mixed Masters,1,6,3,3,0.5,0.4518323586744639,74,56,3.0,1.0,28,1
South Wales Storm,2,12,6,6,0.5,0.37243102414155044,100,105,-0.4166666666666667,1.0,36,1
Deep Space,1,6,3,3,0.5,0.6073268921095009,70,57,2.1666666666666665,1.0,28,1
Halcyon Mixed,1,6,3,3,0.5,0.5244444444444444,65,61,0.6666666666666666,1.0,22,1
Contested 1st,4,25,12,13,0.48,0.4780771596181746,255,222,1.32,1.0,41,1
Coalition Of Wales,1,7,3,4,0.42857142857142855,0.587133263561835,51,70,-2.7142857142857144,1.0,31,1
Bristol Mixed 2,1,7,3,4,0.42857142857142855,0.3972204266321913,62,71,-1.2857142857142858,1.0,29,1
Sheffield Steal,3,19,8,11,0.42105263157894735,0.5619184183368638,187,186,0.05263157894736842,1.0,41,1
GUXYZ,2,12,5,7,0.4166666666666667,0.4236348961732593,94,111,-1.4166666666666667,1.0,37,1
Flyght Mixed,3,17,7,10,0.4117647058823529,0.573508605978537,149,173,-1.411764705882353,1.0,36,1
Reading 1,1,5,2,3,0.4,0.6466666666666667,35,58,-4.6,1.0,10,1
Brixton,4,26,10,16,0.38461538461538464,0.41734201487996386,215,253,-1.4615384615384615,1.0,40,1
Black Sheep Ultimate,4,24,9,15,0.375,0.38126441423251217,191,240,-2.0416666666666665,1.0,38,1
Thundering Herd 2,4,25,9,16,0.36,0.46476707369446635,184,231,-1.88,1.0,38,1
BN1,1,6,2,4,0.3333333333333333,0.6468005763200271,66,77,-1.8333333333333333,1.0,29,1
Newcastle Brown 2,1,6,2,4,0.3333333333333333,0.4328703703703704,56,76,-3.3333333333333335,1.0,28,1
Cambridge Ultimate Mixed 1,4,26,8,18,0.3076923076923077,0.44249959426176333,169,271,-3.923076923076923,1.0,41,1
Curve Trajectory,4,24,6,18,0.25,0.42506829306171406,159,240,-3.375,1.0,38,1
Birmingham Ultimate,3,18,4,14,0.2222222222222222,0.391442620082971,103,178,-4.166666666666667,1.0,39,1
Epsom Ultimate Mixed,1,5,1,4,0.2,0.4836470588235294,43,56,-2.6,1.0,30,1
Cambridge Ultimate Mixed A,1,6,1,5,0.16666666666666666,0.6386004029024624,47,72,-4.166666666666667,1.0,25,1
Flying Sheep Mixed,1,6,1,5,0.16666666666666666,0.5737865497076023,29,84,-9.166666666666666,1.0,32,1
Sneeekys A,1,6,0,6,0.0,0.3809259259259259,29,85,-9.333333333333334,1.0,31,1
LLLeeds Mixed,1,6,0,6,0.0,0.35398148148148145,12,68,-9.333333333333334,1.0,30,1
