Year,Calendar_Week,Date_Start,Date_End,N_Tournaments,N_Teams_EUF,N_Teams_All,N_Games,N_Tournaments_Cum,N_Teams_EUF_Cum,N_Teams_All_Cum,N_Games_Cum,N_Components,N_Components_All,Max_Component_Size
2025,14,2025-03-31,2025-04-06,1,21,21,60,1,21,21,60,1,24,21
2025,15,2025-04-07,2025-04-13,0,0,0,0,1,21,21,60,1,24,21
2025,16,2025-04-14,2025-04-20,0,0,0,0,1,21,21,60,1,24,21
2025,17,2025-04-21,2025-04-27,0,0,0,0,1,21,21,60,1,24,21
2025,18,2025-04-28,2025-05-04,0,0,0,0,1,21,21,60,1,24,21
2025,19,2025-05-05,2025-05-11,1,24,24,68,2,30,30,128,1,15,30
2025,20,2025-05-12,2025-05-18,0,0,0,0,2,30,30,128,1,15,30
2025,21,2025-05-19,2025-05-25,0,0,0,0,2,30,30,128,1,15,30
2025,22,2025-05-26,2025-06-01,0,0,0,0,2,30,30,128,1,15,30
2025,23,2025-06-02,2025-06-08,2,25,25,77,4,41,41,205,1,4,41
2025,24,2025-06-09,2025-06-15,0,0,0,0,4,41,41,205,1,4,41
2025,25,2025-06-16,2025-06-22,0,0,0,0,4,41,41,205,1,4,41
2025,26,2025-06-23,2025-06-29,0,0,0,0,4,41,41,205,1,4,41
2025,27,2025-06-30,2025-07-06,0,0,0,0,4,41,41,205,1,4,41
2025,28,2025-07-07,2025-07-13,1,19,19,63,5,44,44,268,1,1,44
