Team,Aliases
LMU Overground,LMU
SYC,
Spice,
Horizon,
LMU Underground,
Iceni,
Bristol Women,
GB U24 Women,
SMOG Women,SMOG
Horizon Sun,
GB U20 Women,
Horizon Moon,
Thundering Her,
Brixton Women,
FRed,
Chameleons,
Brighton Women,
South Wales Storm - Women,
Gentle,
YAKA,
Dublin Gravity Women,
KFUM Örebro Frisbee,
Flame,
