Team,Aliases
SMOG Open,
SMASH'D 1,SMASH'D A
SOLENT White,"SOLENT Blue, SOLENT Open"
Ka-Pow!,Ka-pow!
Lemmings Open 1,Lemmings 1
GB U20 Open,
LLLeeds Open 1,LLLeeds 1
Flyght Open 1,
DED,
Fire of London,
Manchester Ultimate,
Cambridge Ultimate Open 1,
Brighton Open,
Newcastle Brown,
Manchester Bees,
Loughborough 1,
Birmingham Ultimate,
GB U24 Open,
GB Open Masters,
SMASH'D,
Alba,
Bristol Open,
Ireland U24 Men,
PELT Ultimate,
Tribe Open,
Out of Hibearnation,
Brizzle,
Lemmings 2,
Thundering Him,
LLLeeds 2,
Brixton Open,
Sheffield Steal,
Malmo Ultimate Club,
Genesis,
Durham 1,
