Team,Tournament
SMOG Open,Leicester Open 2025
SMASH'D 1,Leicester Open 2025
SMASH'D A,Leicester Open 2025
SOLENT White,Leicester Open 2025
Ka-Pow!,Leicester Open 2025
SOLENT Blue,Leicester Open 2025
Lemmings Open 1,Leicester Open 2025
GB U20 Open,Leicester Open 2025
LLLeeds Open 1,Leicester Open 2025
Flyght Open 1,Leicester Open 2025
DED,Leicester Open 2025
Fire of London,Leicester Open 2025
Manchester Ultimate,Leicester Open 2025
Cambridge Ultimate Open 1,Leicester Open 2025
Brighton Open,Leicester Open 2025
Newcastle Brown,Leicester Open 2025
Manchester Bees,Leicester Open 2025
Loughborough 1,Leicester Open 2025
Birmingham Ultimate,Leicester Open 2025
GB U24 Open,Windfarm 2025
GB Open Masters,Windfarm 2025
SMASH'D,Windfarm 2025
Alba,Windfarm 2025
Bristol Open,Windfarm 2025
Ireland U24 Men,Windfarm 2025
Ka-pow!,Windfarm 2025
Lemmings 1,Windfarm 2025
GB U20 Open,Windfarm 2025
SOLENT Open,Windfarm 2025
PELT Ultimate,Windfarm 2025
Tribe Open,Windfarm 2025
SOLENT Blue,Windfarm 2025
Cambridge Ultimate Open 1,Windfarm 2025
Brighton Open,Windfarm 2025
Fire of London,Windfarm 2025
Out of Hibearnation,Windfarm 2025
LLLeeds 1,Windfarm 2025
DED,Windfarm 2025
Flyght Open 1,Windfarm 2025
Newcastle Brown,Windfarm 2025
Manchester Ultimate,Windfarm 2025
Brizzle,Windfarm 2025
Lemmings 2,Windfarm 2025
Thundering Him,Windfarm 2025
LLLeeds 2,Windfarm 2025
Brixton Open,Windfarm 2025
Manchester Bees,Windfarm 2025
Birmingham Ultimate,Windfarm 2025
Sheffield Steal,Windfarm 2025
Lemmings 1,Southampton 2025
Ka-Pow!,Southampton 2025
SMASH'D,Southampton 2025
SOLENT Open,Southampton 2025
Malmo Ultimate Club,Southampton 2025
Cambridge Ultimate Open 1,Southampton 2025
Fire of London,Southampton 2025
Brighton Open,Southampton 2025
DED,Southampton 2025
Brizzle,Southampton 2025
SOLENT Blue,Southampton 2025
Genesis,Southampton 2025
SMOG Open,Durham 2025
Manchester Ultimate,Durham 2025
Newcastle Brown,Durham 2025
LLLeeds Open 1,Durham 2025
Durham 1,Durham 2025
